Starting tests of NIDAQ unit...
Using device: [cDAQ1Mod3]
Using channels: [cDAQ1Mod3/ai0:3]
time, line0, line1, line2, line3
0.000000, 117.922163, 116.608941, 120.548608, 116.608941
0.001000, 120.548608, 117.922163, 120.548608, 120.548608
0.002000, 120.548608, 119.235385, 119.235385, 115.295718
0.003000, 117.922163, 119.235385, 117.922163, 117.922163
0.004000, 116.608941, 117.922163, 120.548608, 119.235385
0.005000, 116.608941, 119.235385, 117.922163, 116.608941
0.006000, 117.922163, 119.235385, 119.235385, 116.608941
0.007000, 117.922163, 117.922163, 117.922163, 119.235385
0.008000, 116.608941, 119.235385, 117.922163, 120.548608
0.009000, 116.608941, 115.295718, 116.608941, 119.235385
0.010000, 115.295718, 117.922163, 116.608941, 117.922163
0.011000, 117.922163, 115.295718, 117.922163, 117.922163
0.012000, 119.235385, 116.608941, 116.608941, 117.922163
0.013000, 116.608941, 117.922163, 115.295718, 116.608941
0.014000, 115.295718, 116.608941, 116.608941, 115.295718
0.015000, 119.235385, 117.922163, 113.982496, 116.608941
0.016000, 116.608941, 117.922163, 117.922163, 116.608941
0.017000, 117.922163, 116.608941, 117.922163, 117.922163
0.018000, 116.608941, 117.922163, 116.608941, 119.235385
0.019000, 117.922163, 117.922163, 116.608941, 119.235385
0.020000, 117.922163, 116.608941, 116.608941, 119.235385
0.021000, 115.295718, 116.608941, 119.235385, 115.295718
0.022000, 119.235385, 119.235385, 117.922163, 117.922163
0.023000, 113.982496, 115.295718, 116.608941, 115.295718
0.024000, 115.295718, 115.295718, 113.982496, 115.295718
0.025000, 117.922163, 116.608941, 117.922163, 116.608941
0.026000, 116.608941, 116.608941, 117.922163, 116.608941
0.027000, 115.295718, 119.235385, 117.922163, 117.922163
0.028000, 115.295718, 117.922163, 117.922163, 115.295718
0.029000, 116.608941, 116.608941, 117.922163, 116.608941
0.030000, 117.922163, 116.608941, 117.922163, 117.922163
0.031000, 117.922163, 117.922163, 115.295718, 119.235385
0.032000, 117.922163, 117.922163, 116.608941, 117.922163
0.033000, 120.548608, 116.608941, 116.608941, 116.608941
0.034000, 117.922163, 115.295718, 117.922163, 119.235385
0.035000, 115.295718, 116.608941, 117.922163, 116.608941
0.036000, 113.982496, 111.356051, 116.608941, 115.295718
0.037000, 115.295718, 115.295718, 115.295718, 116.608941
0.038000, 116.608941, 117.922163, 117.922163, 116.608941
0.039000, 113.982496, 117.922163, 116.608941, 115.295718
0.040000, 119.235385, 119.235385, 116.608941, 119.235385
0.041000, 116.608941, 117.922163, 119.235385, 117.922163
0.042000, 116.608941, 117.922163, 116.608941, 119.235385
0.043000, 117.922163, 119.235385, 117.922163, 117.922163
0.044000, 116.608941, 119.235385, 116.608941, 117.922163
0.045000, 116.608941, 116.608941, 117.922163, 119.235385
0.046000, 116.608941, 116.608941, 120.548608, 119.235385
0.047000, 117.922163, 116.608941, 115.295718, 117.922163
0.048000, 117.922163, 119.235385, 116.608941, 116.608941
0.049000, 116.608941, 116.608941, 116.608941, 117.922163
0.050000, 119.235385, 117.922163, 116.608941, 117.922163
0.051000, 115.295718, 115.295718, 119.235385, 117.922163
0.052000, 117.922163, 116.608941, 116.608941, 120.548608
0.053000, 116.608941, 115.295718, 115.295718, 112.669273
0.054000, 116.608941, 116.608941, 115.295718, 115.295718
0.055000, 119.235385, 115.295718, 115.295718, 116.608941
0.056000, 115.295718, 117.922163, 119.235385, 116.608941
0.057000, 116.608941, 115.295718, 119.235385, 116.608941
0.058000, 119.235385, 119.235385, 115.295718, 117.922163
0.059000, 116.608941, 116.608941, 119.235385, 119.235385
0.060000, 117.922163, 117.922163, 115.295718, 116.608941
0.061000, 116.608941, 117.922163, 117.922163, 117.922163
0.062000, 116.608941, 117.922163, 116.608941, 116.608941
0.063000, 116.608941, 117.922163, 119.235385, 120.548608
0.064000, 115.295718, 115.295718, 117.922163, 117.922163
0.065000, 117.922163, 116.608941, 117.922163, 117.922163
0.066000, 117.922163, 117.922163, 116.608941, 116.608941
0.067000, 115.295718, 116.608941, 120.548608, 116.608941
0.068000, 119.235385, 115.295718, 116.608941, 117.922163
0.069000, 115.295718, 117.922163, 115.295718, 115.295718
0.070000, 116.608941, 116.608941, 117.922163, 116.608941
0.071000, 115.295718, 115.295718, 113.982496, 115.295718
0.072000, 115.295718, 116.608941, 119.235385, 115.295718
0.073000, 119.235385, 115.295718, 115.295718, 117.922163
0.074000, 116.608941, 116.608941, 115.295718, 115.295718
0.075000, 116.608941, 116.608941, 119.235385, 116.608941
0.076000, 116.608941, 116.608941, 117.922163, 117.922163
0.077000, 119.235385, 117.922163, 119.235385, 117.922163
0.078000, 115.295718, 116.608941, 117.922163, 116.608941
0.079000, 117.922163, 116.608941, 119.235385, 115.295718
0.080000, 115.295718, 116.608941, 117.922163, 119.235385
0.081000, 116.608941, 116.608941, 116.608941, 115.295718
0.082000, 115.295718, 116.608941, 116.608941, 115.295718
0.083000, 117.922163, 116.608941, 115.295718, 116.608941
0.084000, 115.295718, 117.922163, 115.295718, 116.608941
0.085000, 115.295718, 116.608941, 115.295718, 113.982496
0.086000, 112.669273, 116.608941, 116.608941, 117.922163
0.087000, 115.295718, 115.295718, 119.235385, 116.608941
0.088000, 115.295718, 115.295718, 116.608941, 116.608941
0.089000, 112.669273, 116.608941, 116.608941, 117.922163
0.090000, 117.922163, 115.295718, 116.608941, 117.922163
0.091000, 117.922163, 116.608941, 116.608941, 117.922163
0.092000, 116.608941, 116.608941, 116.608941, 117.922163
0.093000, 117.922163, 115.295718, 116.608941, 117.922163
0.094000, 116.608941, 116.608941, 116.608941, 116.608941
0.095000, 116.608941, 117.922163, 115.295718, 117.922163
0.096000, 115.295718, 116.608941, 117.922163, 116.608941
0.097000, 115.295718, 116.608941, 116.608941, 116.608941
0.098000, 115.295718, 116.608941, 115.295718, 115.295718
0.099000, 112.669273, 116.608941, 116.608941, 116.608941
0.100000, 115.295718, 117.922163, 116.608941, 117.922163
0.101000, 116.608941, 115.295718, 117.922163, 119.235385
0.102000, 116.608941, 116.608941, 115.295718, 117.922163
0.103000, 115.295718, 115.295718, 119.235385, 113.982496
0.104000, 119.235385, 116.608941, 117.922163, 116.608941
0.105000, 115.295718, 116.608941, 116.608941, 117.922163
0.106000, 116.608941, 117.922163, 116.608941, 117.922163
0.107000, 113.982496, 116.608941, 117.922163, 115.295718
0.108000, 115.295718, 115.295718, 119.235385, 116.608941
0.109000, 117.922163, 116.608941, 116.608941, 117.922163
0.110000, 113.982496, 117.922163, 117.922163, 115.295718
0.111000, 115.295718, 116.608941, 113.982496, 116.608941
0.112000, 116.608941, 115.295718, 115.295718, 116.608941
0.113000, 116.608941, 117.922163, 117.922163, 117.922163
0.114000, 115.295718, 116.608941, 116.608941, 116.608941
0.115000, 113.982496, 120.548608, 116.608941, 115.295718
0.116000, 115.295718, 115.295718, 115.295718, 116.608941
0.117000, 119.235385, 117.922163, 117.922163, 116.608941
0.118000, 117.922163, 115.295718, 115.295718, 116.608941
0.119000, 116.608941, 117.922163, 116.608941, 115.295718
0.120000, 115.295718, 117.922163, 116.608941, 117.922163
0.121000, 116.608941, 116.608941, 117.922163, 116.608941
0.122000, 115.295718, 116.608941, 116.608941, 116.608941
0.123000, 115.295718, 117.922163, 117.922163, 115.295718
0.124000, 112.669273, 115.295718, 115.295718, 115.295718
0.125000, 116.608941, 116.608941, 117.922163, 116.608941
0.126000, 116.608941, 115.295718, 113.982496, 117.922163
0.127000, 117.922163, 116.608941, 117.922163, 115.295718
0.128000, 115.295718, 115.295718, 115.295718, 115.295718
0.129000, 119.235385, 115.295718, 115.295718, 116.608941
0.130000, 115.295718, 116.608941, 113.982496, 115.295718
0.131000, 116.608941, 115.295718, 117.922163, 117.922163
0.132000, 115.295718, 116.608941, 116.608941, 115.295718
0.133000, 115.295718, 115.295718, 115.295718, 115.295718
0.134000, 117.922163, 116.608941, 113.982496, 117.922163
0.135000, 116.608941, 116.608941, 115.295718, 116.608941
0.136000, 116.608941, 115.295718, 116.608941, 116.608941
0.137000, 116.608941, 113.982496, 117.922163, 116.608941
0.138000, 113.982496, 112.669273, 115.295718, 112.669273
0.139000, 117.922163, 115.295718, 113.982496, 115.295718
0.140000, 113.982496, 115.295718, 117.922163, 117.922163
0.141000, 117.922163, 117.922163, 119.235385, 116.608941
0.142000, 116.608941, 116.608941, 116.608941, 116.608941
0.143000, 116.608941, 116.608941, 119.235385, 115.295718
0.144000, 117.922163, 116.608941, 115.295718, 116.608941
0.145000, 117.922163, 116.608941, 116.608941, 117.922163
0.146000, 116.608941, 115.295718, 116.608941, 115.295718
