---> createTask() Called 
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = 6299816
createTaskStatus = 0
After createTask() ---> taskHandle = 386789856
startTask() ---> taskHandle = 386789856
time, line0, line1, line2, line3
0.000000, 114.164178, 115.477393, 115.477393, 115.477393
0.001000, 116.790608, 116.790608, 118.103822, 116.790608
0.002000, 114.164178, 115.477393, 115.477393, 115.477393
0.003000, 114.164178, 118.103822, 115.477393, 115.477393
0.004000, 114.164178, 115.477393, 115.477393, 115.477393
0.005000, 112.850964, 114.164178, 115.477393, 115.477393
0.006000, 115.477393, 116.790608, 114.164178, 115.477393
0.007000, 112.850964, 115.477393, 114.164178, 115.477393
0.008000, 112.850964, 115.477393, 119.417037, 115.477393
0.009000, 115.477393, 114.164178, 115.477393, 114.164178
0.010000, 116.790608, 115.477393, 115.477393, 116.790608
0.011000, 112.850964, 115.477393, 116.790608, 115.477393
0.012000, 114.164178, 116.790608, 115.477393, 114.164178
0.013000, 114.164178, 115.477393, 114.164178, 114.164178
0.014000, 114.164178, 114.164178, 115.477393, 114.164178
0.015000, 115.477393, 114.164178, 115.477393, 115.477393
0.016000, 114.164178, 115.477393, 114.164178, 114.164178
0.017000, 112.850964, 112.850964, 114.164178, 114.164178
0.018000, 110.224534, 112.850964, 112.850964, 115.477393
0.019000, 116.790608, 114.164178, 114.164178, 114.164178
0.020000, 112.850964, 114.164178, 114.164178, 114.164178
0.021000, 116.790608, 112.850964, 114.164178, 115.477393
0.022000, 114.164178, 115.477393, 112.850964, 115.477393
0.023000, 114.164178, 115.477393, 116.790608, 116.790608
0.024000, 114.164178, 114.164178, 114.164178, 118.103822
0.025000, 111.537749, 115.477393, 115.477393, 114.164178
0.026000, 114.164178, 116.790608, 112.850964, 118.103822
0.027000, 115.477393, 112.850964, 116.790608, 116.790608
0.028000, 112.850964, 115.477393, 114.164178, 116.790608
0.029000, 112.850964, 116.790608, 115.477393, 115.477393
0.030000, 115.477393, 112.850964, 114.164178, 114.164178
0.031000, 115.477393, 115.477393, 116.790608, 114.164178
0.032000, 114.164178, 114.164178, 115.477393, 115.477393
0.033000, 111.537749, 116.790608, 114.164178, 114.164178
0.034000, 115.477393, 115.477393, 115.477393, 116.790608
0.035000, 114.164178, 114.164178, 116.790608, 115.477393
0.036000, 116.790608, 115.477393, 115.477393, 114.164178
0.037000, 112.850964, 115.477393, 112.850964, 112.850964
0.038000, 110.224534, 114.164178, 112.850964, 111.537749
0.039000, 114.164178, 112.850964, 114.164178, 116.790608
0.040000, 116.790608, 116.790608, 115.477393, 116.790608
0.041000, 114.164178, 115.477393, 112.850964, 114.164178
0.042000, 112.850964, 118.103822, 114.164178, 116.790608
0.043000, 112.850964, 114.164178, 114.164178, 112.850964
0.044000, 112.850964, 119.417037, 118.103822, 115.477393
0.045000, 115.477393, 114.164178, 114.164178, 112.850964
0.046000, 112.850964, 115.477393, 114.164178, 115.477393
0.047000, 115.477393, 115.477393, 115.477393, 114.164178
0.048000, 112.850964, 114.164178, 115.477393, 115.477393
0.049000, 111.537749, 114.164178, 114.164178, 115.477393
0.050000, 112.850964, 114.164178, 114.164178, 112.850964
0.051000, 114.164178, 112.850964, 114.164178, 115.477393
0.052000, 110.224534, 111.537749, 114.164178, 112.850964
0.053000, 111.537749, 112.850964, 111.537749, 110.224534
0.054000, 110.224534, 112.850964, 114.164178, 112.850964
0.055000, 111.537749, 112.850964, 114.164178, 111.537749
0.056000, 111.537749, 112.850964, 111.537749, 110.224534
0.057000, 112.850964, 115.477393, 115.477393, 112.850964
0.058000, 112.850964, 114.164178, 112.850964, 115.477393
0.059000, 115.477393, 116.790608, 114.164178, 114.164178
0.060000, 112.850964, 112.850964, 114.164178, 114.164178
0.061000, 115.477393, 115.477393, 114.164178, 114.164178
0.062000, 114.164178, 114.164178, 114.164178, 115.477393
0.063000, 115.477393, 115.477393, 115.477393, 114.164178
0.064000, 115.477393, 115.477393, 114.164178, 115.477393
0.065000, 114.164178, 115.477393, 114.164178, 114.164178
0.066000, 115.477393, 115.477393, 114.164178, 114.164178
0.067000, 112.850964, 114.164178, 114.164178, 115.477393
0.068000, 110.224534, 111.537749, 108.911319, 114.164178
0.069000, 111.537749, 110.224534, 110.224534, 111.537749
0.070000, 111.537749, 112.850964, 112.850964, 112.850964
0.071000, 114.164178, 112.850964, 112.850964, 116.790608
0.072000, 112.850964, 116.790608, 114.164178, 114.164178
0.073000, 111.537749, 114.164178, 115.477393, 112.850964
0.074000, 114.164178, 114.164178, 115.477393, 114.164178
0.075000, 115.477393, 114.164178, 112.850964, 115.477393
0.076000, 111.537749, 115.477393, 116.790608, 116.790608
0.077000, 114.164178, 115.477393, 118.103822, 115.477393
0.078000, 112.850964, 114.164178, 112.850964, 115.477393
0.079000, 114.164178, 115.477393, 114.164178, 116.790608
