---> createTask() Called 
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = 6299880
createTaskStatus = 0
After createTask() ---> taskHandle = 171422176
time, line0, line1, line2, line3
0.000000, 117.166464, 114.540034, 115.853249, 115.853249
0.001000, 115.853249, 117.166464, 118.479679, 119.792893
0.002000, 118.479679, 115.853249, 114.540034, 117.166464
0.003000, 111.913605, 114.540034, 114.540034, 115.853249
0.004000, 114.540034, 114.540034, 117.166464, 115.853249
0.005000, 113.226819, 115.853249, 117.166464, 118.479679
0.006000, 113.226819, 115.853249, 115.853249, 115.853249
0.007000, 115.853249, 115.853249, 114.540034, 117.166464
0.008000, 115.853249, 115.853249, 118.479679, 117.166464
0.009000, 117.166464, 114.540034, 115.853249, 117.166464
0.010000, 115.853249, 117.166464, 115.853249, 117.166464
0.011000, 115.853249, 117.166464, 115.853249, 114.540034
0.012000, 114.540034, 114.540034, 115.853249, 115.853249
0.013000, 114.540034, 115.853249, 114.540034, 118.479679
0.014000, 115.853249, 117.166464, 115.853249, 117.166464
0.015000, 114.540034, 114.540034, 115.853249, 115.853249
0.016000, 115.853249, 115.853249, 115.853249, 114.540034
0.017000, 117.166464, 114.540034, 115.853249, 114.540034
0.018000, 115.853249, 119.792893, 115.853249, 117.166464
0.019000, 115.853249, 115.853249, 117.166464, 115.853249
0.020000, 113.226819, 117.166464, 115.853249, 117.166464
0.021000, 118.479679, 117.166464, 118.479679, 115.853249
0.022000, 118.479679, 113.226819, 118.479679, 115.853249
0.023000, 117.166464, 114.540034, 115.853249, 117.166464
0.024000, 115.853249, 115.853249, 115.853249, 117.166464
0.025000, 114.540034, 117.166464, 117.166464, 113.226819
0.026000, 114.540034, 117.166464, 115.853249, 118.479679
0.027000, 118.479679, 114.540034, 117.166464, 115.853249
0.028000, 114.540034, 115.853249, 115.853249, 117.166464
0.029000, 115.853249, 114.540034, 115.853249, 115.853249
0.030000, 115.853249, 118.479679, 115.853249, 115.853249
0.031000, 117.166464, 115.853249, 118.479679, 117.166464
0.032000, 115.853249, 114.540034, 117.166464, 118.479679
0.033000, 113.226819, 115.853249, 117.166464, 117.166464
0.034000, 117.166464, 117.166464, 114.540034, 114.540034
0.035000, 114.540034, 114.540034, 117.166464, 115.853249
0.036000, 113.226819, 114.540034, 117.166464, 117.166464
0.037000, 115.853249, 118.479679, 114.540034, 115.853249
0.038000, 113.226819, 111.913605, 114.540034, 114.540034
0.039000, 115.853249, 113.226819, 114.540034, 114.540034
0.040000, 113.226819, 115.853249, 113.226819, 117.166464
0.041000, 113.226819, 114.540034, 115.853249, 115.853249
0.042000, 115.853249, 114.540034, 114.540034, 115.853249
0.043000, 117.166464, 115.853249, 114.540034, 115.853249
0.044000, 115.853249, 114.540034, 115.853249, 115.853249
0.045000, 114.540034, 115.853249, 114.540034, 115.853249
0.046000, 117.166464, 115.853249, 114.540034, 115.853249
0.047000, 117.166464, 119.792893, 117.166464, 117.166464
0.048000, 117.166464, 117.166464, 115.853249, 114.540034
0.049000, 117.166464, 117.166464, 115.853249, 115.853249
0.050000, 115.853249, 117.166464, 114.540034, 115.853249
0.051000, 117.166464, 115.853249, 117.166464, 114.540034
0.052000, 117.166464, 115.853249, 115.853249, 115.853249
0.053000, 117.166464, 118.479679, 117.166464, 113.226819
0.054000, 114.540034, 114.540034, 114.540034, 115.853249
0.055000, 115.853249, 118.479679, 115.853249, 117.166464
0.056000, 115.853249, 117.166464, 117.166464, 118.479679
0.057000, 114.540034, 117.166464, 115.853249, 113.226819
0.058000, 111.913605, 113.226819, 114.540034, 113.226819
0.059000, 115.853249, 115.853249, 115.853249, 114.540034
0.060000, 115.853249, 117.166464, 114.540034, 117.166464
0.061000, 114.540034, 113.226819, 115.853249, 117.166464
0.062000, 117.166464, 115.853249, 118.479679, 115.853249
0.063000, 114.540034, 114.540034, 115.853249, 115.853249
0.064000, 117.166464, 117.166464, 117.166464, 117.166464
0.065000, 118.479679, 117.166464, 117.166464, 117.166464
0.066000, 115.853249, 114.540034, 117.166464, 117.166464
0.067000, 115.853249, 115.853249, 117.166464, 114.540034
0.068000, 114.540034, 115.853249, 115.853249, 117.166464
0.069000, 114.540034, 113.226819, 117.166464, 118.479679
0.070000, 114.540034, 115.853249, 113.226819, 115.853249
0.071000, 115.853249, 115.853249, 117.166464, 115.853249
0.072000, 115.853249, 114.540034, 115.853249, 118.479679
0.073000, 118.479679, 113.226819, 117.166464, 114.540034
0.074000, 114.540034, 114.540034, 117.166464, 114.540034
0.075000, 115.853249, 118.479679, 111.913605, 114.540034
