Hello from process: 0
Hello from process: 6
Hello from process: 7
Hello from process: 5
Hello from process: 3
Hello from process: 2
Hello from process: 4
Hello from process: 1
Updated printLoop.c
***** UPDATED ftHELPER.C ******
---> createTask()
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = -1954033592
createTaskStatus = 0
After createTask() ---> taskHandle = 1330354080
startTask() ---> taskHandle = 1330354080


Sum = 1783293664
NIDAQ testing complete!
time, line0, line1, line2, line3
0.000000, 115.938065, 115.938065, 117.251274, 117.251274
0.001000, 119.877692, 118.564483, 121.190901, 119.877692
0.002000, 115.938065, 119.877692, 119.877692, 115.938065
0.003000, 115.938065, 115.938065, 119.877692, 115.938065
0.004000, 119.877692, 118.564483, 121.190901, 118.564483
0.005000, 119.877692, 117.251274, 118.564483, 118.564483
0.006000, 117.251274, 121.190901, 118.564483, 118.564483
0.007000, 115.938065, 117.251274, 117.251274, 117.251274
0.008000, 121.190901, 119.877692, 119.877692, 118.564483
0.009000, 117.251274, 119.877692, 118.564483, 119.877692
0.010000, 117.251274, 118.564483, 119.877692, 118.564483
0.011000, 117.251274, 117.251274, 117.251274, 118.564483
0.012000, 118.564483, 117.251274, 119.877692, 119.877692
0.013000, 119.877692, 118.564483, 118.564483, 117.251274
0.014000, 115.938065, 117.251274, 118.564483, 118.564483
0.015000, 118.564483, 117.251274, 118.564483, 117.251274
0.016000, 117.251274, 119.877692, 117.251274, 118.564483
0.017000, 118.564483, 118.564483, 118.564483, 117.251274
0.018000, 115.938065, 119.877692, 118.564483, 117.251274
0.019000, 115.938065, 117.251274, 113.311646, 115.938065
0.020000, 115.938065, 115.938065, 117.251274, 117.251274
0.021000, 115.938065, 115.938065, 118.564483, 115.938065
0.022000, 118.564483, 117.251274, 117.251274, 117.251274
0.023000, 119.877692, 117.251274, 117.251274, 119.877692
0.024000, 119.877692, 118.564483, 119.877692, 118.564483
0.025000, 115.938065, 117.251274, 117.251274, 119.877692
0.026000, 117.251274, 117.251274, 118.564483, 117.251274
0.027000, 118.564483, 115.938065, 117.251274, 117.251274
0.028000, 117.251274, 118.564483, 119.877692, 118.564483
0.029000, 117.251274, 117.251274, 118.564483, 119.877692
0.030000, 113.311646, 111.998437, 113.311646, 114.624855
0.031000, 113.311646, 115.938065, 114.624855, 115.938065
0.032000, 118.564483, 117.251274, 118.564483, 119.877692
0.033000, 118.564483, 118.564483, 117.251274, 117.251274
0.034000, 117.251274, 115.938065, 117.251274, 115.938065
0.035000, 115.938065, 115.938065, 117.251274, 115.938065
0.036000, 117.251274, 117.251274, 118.564483, 114.624855
0.037000, 117.251274, 117.251274, 118.564483, 118.564483
0.038000, 117.251274, 117.251274, 119.877692, 117.251274
0.039000, 117.251274, 118.564483, 118.564483, 118.564483
0.040000, 119.877692, 117.251274, 117.251274, 117.251274
0.041000, 117.251274, 117.251274, 118.564483, 119.877692
0.042000, 117.251274, 115.938065, 117.251274, 119.877692
0.043000, 114.624855, 118.564483, 114.624855, 119.877692
0.044000, 118.564483, 117.251274, 117.251274, 117.251274
0.045000, 114.624855, 114.624855, 117.251274, 117.251274
0.046000, 114.624855, 115.938065, 118.564483, 118.564483
0.047000, 115.938065, 117.251274, 117.251274, 114.624855
0.048000, 115.938065, 114.624855, 117.251274, 115.938065
0.049000, 117.251274, 114.624855, 117.251274, 117.251274
0.050000, 117.251274, 114.624855, 119.877692, 117.251274
0.051000, 115.938065, 114.624855, 118.564483, 119.877692
0.052000, 114.624855, 115.938065, 118.564483, 115.938065
0.053000, 117.251274, 115.938065, 118.564483, 118.564483
0.054000, 115.938065, 115.938065, 117.251274, 117.251274
0.055000, 115.938065, 115.938065, 119.877692, 117.251274
0.056000, 114.624855, 118.564483, 118.564483, 118.564483
0.057000, 114.624855, 115.938065, 118.564483, 117.251274
0.058000, 115.938065, 114.624855, 117.251274, 117.251274
0.059000, 115.938065, 117.251274, 115.938065, 119.877692
0.060000, 118.564483, 118.564483, 118.564483, 115.938065
0.061000, 117.251274, 115.938065, 117.251274, 117.251274
0.062000, 114.624855, 114.624855, 117.251274, 117.251274
0.063000, 115.938065, 115.938065, 114.624855, 117.251274
0.064000, 117.251274, 118.564483, 117.251274, 117.251274
0.065000, 115.938065, 115.938065, 114.624855, 118.564483
0.066000, 118.564483, 117.251274, 118.564483, 117.251274
0.067000, 115.938065, 117.251274, 115.938065, 119.877692
0.068000, 117.251274, 115.938065, 115.938065, 117.251274
