Hello from process: 0
Hello from process: 5
Hello from process: 2
Hello from process: 4
Hello from process: 7
Hello from process: 3
Hello from process: 6
Hello from process: 1
Updated printLoop.c
***** UPDATED ftHELPER.C ******
---> createTask()
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = 1959522376
createTaskStatus = 0
After createTask() ---> taskHandle = -1374972000
startTask() ---> taskHandle = -1374972000


Sum = 1783293664
NIDAQ testing complete!
time, line0, line1, line2, line3
0.000000, 4.315289, 6.941707, 5.628498, 6.941707
0.001000, 8.254916, 6.941707, 5.628498, 6.941707
0.002000, 5.628498, 4.315289, 6.941707, 6.941707
0.003000, 6.941707, 4.315289, 8.254916, 6.941707
0.004000, 5.628498, 5.628498, 5.628498, 5.628498
0.005000, 6.941707, 6.941707, 6.941707, 5.628498
0.006000, 5.628498, 6.941707, 6.941707, 5.628498
0.007000, 5.628498, 5.628498, 6.941707, 4.315289
0.008000, 6.941707, 5.628498, 6.941707, 5.628498
0.009000, 5.628498, 6.941707, 5.628498, 6.941707
0.010000, 5.628498, 5.628498, 6.941707, 5.628498
0.011000, 6.941707, 5.628498, 5.628498, 6.941707
0.012000, 4.315289, 5.628498, 5.628498, 6.941707
0.013000, 5.628498, 5.628498, 6.941707, 5.628498
0.014000, 5.628498, 5.628498, 6.941707, 6.941707
0.015000, 5.628498, 5.628498, 5.628498, 5.628498
0.016000, 4.315289, 5.628498, 8.254916, 6.941707
0.017000, 5.628498, 6.941707, 6.941707, 6.941707
0.018000, 5.628498, 4.315289, 6.941707, 5.628498
0.019000, 4.315289, 5.628498, 5.628498, 3.002080
0.020000, 5.628498, 6.941707, 5.628498, 4.315289
0.021000, 6.941707, 5.628498, 6.941707, 5.628498
0.022000, 6.941707, 6.941707, 6.941707, 8.254916
0.023000, 3.002080, 6.941707, 4.315289, 6.941707
0.024000, 5.628498, 4.315289, 4.315289, 5.628498
0.025000, 4.315289, 5.628498, 5.628498, 6.941707
0.026000, 6.941707, 8.254916, 6.941707, 8.254916
0.027000, 6.941707, 6.941707, 6.941707, 4.315289
0.028000, 5.628498, 4.315289, 5.628498, 4.315289
0.029000, 4.315289, 6.941707, 5.628498, 5.628498
0.030000, 5.628498, 4.315289, 4.315289, 4.315289
0.031000, 4.315289, 4.315289, 4.315289, 4.315289
0.032000, 5.628498, 5.628498, 4.315289, 4.315289
0.033000, 5.628498, 6.941707, 5.628498, 5.628498
0.034000, 5.628498, 6.941707, 5.628498, 5.628498
0.035000, 4.315289, 6.941707, 6.941707, 5.628498
0.036000, 6.941707, 5.628498, 5.628498, 4.315289
0.037000, 4.315289, 6.941707, 6.941707, 4.315289
0.038000, 4.315289, 4.315289, 4.315289, 5.628498
0.039000, 4.315289, 5.628498, 6.941707, 5.628498
0.040000, 8.254916, 5.628498, 5.628498, 4.315289
0.041000, 5.628498, 5.628498, 6.941707, 8.254916
0.042000, 4.315289, 4.315289, 5.628498, 4.315289
0.043000, 5.628498, 4.315289, 5.628498, 4.315289
0.044000, 4.315289, 3.002080, 5.628498, 5.628498
0.045000, 4.315289, 4.315289, 4.315289, 5.628498
0.046000, 6.941707, 6.941707, 6.941707, 6.941707
0.047000, 3.002080, 4.315289, 4.315289, 3.002080
0.048000, 5.628498, 5.628498, 6.941707, 5.628498
0.049000, 5.628498, 3.002080, 5.628498, 4.315289
0.050000, 4.315289, 6.941707, 5.628498, 4.315289
0.051000, 5.628498, 6.941707, 4.315289, 4.315289
0.052000, 5.628498, 5.628498, 5.628498, 5.628498
0.053000, 4.315289, 6.941707, 5.628498, 4.315289
0.054000, 4.315289, 5.628498, 5.628498, 6.941707
0.055000, 6.941707, 5.628498, 5.628498, 5.628498
0.056000, 5.628498, 5.628498, 5.628498, 6.941707
0.057000, 4.315289, 6.941707, 6.941707, 6.941707
0.058000, 5.628498, 5.628498, 5.628498, 4.315289
0.059000, 3.002080, 3.002080, 4.315289, 4.315289
0.060000, 4.315289, 5.628498, 5.628498, 6.941707
0.061000, 4.315289, 5.628498, 4.315289, 6.941707
0.062000, 5.628498, 5.628498, 6.941707, 6.941707
0.063000, 4.315289, 6.941707, 4.315289, 4.315289
