---> createTask() Called 
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = 6299816
createTaskStatus = 0
After createTask() ---> taskHandle = -71896608
startTask() ---> taskHandle = -71896608
time, line0, line1, line2, line3
0.000000, 117.714553, 119.027776, 117.714553, 117.714553
0.001000, 120.340999, 117.714553, 119.027776, 117.714553
0.002000, 115.088107, 117.714553, 120.340999, 116.401330
0.003000, 117.714553, 117.714553, 115.088107, 115.088107
0.004000, 117.714553, 116.401330, 119.027776, 116.401330
0.005000, 116.401330, 117.714553, 117.714553, 117.714553
0.006000, 117.714553, 115.088107, 115.088107, 116.401330
0.007000, 119.027776, 119.027776, 116.401330, 116.401330
0.008000, 116.401330, 117.714553, 117.714553, 116.401330
0.009000, 116.401330, 115.088107, 115.088107, 116.401330
0.010000, 116.401330, 116.401330, 117.714553, 116.401330
0.011000, 117.714553, 117.714553, 116.401330, 116.401330
0.012000, 120.340999, 116.401330, 116.401330, 120.340999
0.013000, 116.401330, 116.401330, 115.088107, 117.714553
0.014000, 115.088107, 116.401330, 119.027776, 116.401330
0.015000, 116.401330, 117.714553, 115.088107, 116.401330
0.016000, 116.401330, 117.714553, 117.714553, 117.714553
0.017000, 116.401330, 117.714553, 117.714553, 119.027776
0.018000, 116.401330, 117.714553, 116.401330, 120.340999
0.019000, 116.401330, 117.714553, 117.714553, 117.714553
0.020000, 116.401330, 116.401330, 116.401330, 117.714553
0.021000, 116.401330, 116.401330, 116.401330, 119.027776
0.022000, 117.714553, 116.401330, 119.027776, 115.088107
0.023000, 115.088107, 115.088107, 115.088107, 116.401330
0.024000, 115.088107, 116.401330, 115.088107, 115.088107
0.025000, 117.714553, 117.714553, 116.401330, 119.027776
0.026000, 116.401330, 117.714553, 117.714553, 117.714553
0.027000, 115.088107, 117.714553, 117.714553, 116.401330
0.028000, 116.401330, 115.088107, 115.088107, 117.714553
0.029000, 116.401330, 115.088107, 115.088107, 116.401330
0.030000, 119.027776, 117.714553, 115.088107, 116.401330
0.031000, 116.401330, 117.714553, 117.714553, 117.714553
0.032000, 115.088107, 117.714553, 116.401330, 116.401330
0.033000, 113.774884, 116.401330, 115.088107, 115.088107
0.034000, 119.027776, 116.401330, 116.401330, 119.027776
0.035000, 120.340999, 116.401330, 115.088107, 116.401330
0.036000, 115.088107, 119.027776, 119.027776, 115.088107
0.037000, 116.401330, 116.401330, 116.401330, 116.401330
0.038000, 116.401330, 115.088107, 116.401330, 116.401330
0.039000, 117.714553, 117.714553, 116.401330, 117.714553
0.040000, 115.088107, 117.714553, 116.401330, 116.401330
0.041000, 112.461662, 115.088107, 116.401330, 115.088107
0.042000, 115.088107, 116.401330, 116.401330, 116.401330
0.043000, 117.714553, 117.714553, 116.401330, 115.088107
0.044000, 116.401330, 119.027776, 117.714553, 117.714553
0.045000, 116.401330, 116.401330, 117.714553, 117.714553
0.046000, 115.088107, 116.401330, 117.714553, 115.088107
0.047000, 116.401330, 116.401330, 117.714553, 117.714553
0.048000, 116.401330, 117.714553, 119.027776, 115.088107
0.049000, 116.401330, 116.401330, 117.714553, 116.401330
0.050000, 116.401330, 116.401330, 115.088107, 116.401330
0.051000, 117.714553, 116.401330, 116.401330, 117.714553
0.052000, 116.401330, 117.714553, 113.774884, 119.027776
0.053000, 115.088107, 115.088107, 113.774884, 113.774884
0.054000, 113.774884, 116.401330, 115.088107, 115.088107
0.055000, 116.401330, 117.714553, 116.401330, 117.714553
0.056000, 116.401330, 117.714553, 116.401330, 117.714553
0.057000, 116.401330, 119.027776, 117.714553, 117.714553
0.058000, 116.401330, 115.088107, 116.401330, 115.088107
0.059000, 116.401330, 116.401330, 115.088107, 115.088107
0.060000, 117.714553, 115.088107, 117.714553, 116.401330
0.061000, 115.088107, 116.401330, 116.401330, 115.088107
0.062000, 117.714553, 117.714553, 115.088107, 115.088107
0.063000, 116.401330, 115.088107, 116.401330, 116.401330
0.064000, 116.401330, 116.401330, 117.714553, 116.401330
0.065000, 116.401330, 117.714553, 116.401330, 116.401330
0.066000, 115.088107, 116.401330, 116.401330, 117.714553
0.067000, 116.401330, 116.401330, 119.027776, 116.401330
0.068000, 115.088107, 117.714553, 116.401330, 116.401330
0.069000, 117.714553, 115.088107, 116.401330, 116.401330
0.070000, 115.088107, 113.774884, 113.774884, 113.774884
0.071000, 115.088107, 112.461662, 116.401330, 115.088107
0.072000, 117.714553, 115.088107, 115.088107, 116.401330
0.073000, 116.401330, 115.088107, 116.401330, 117.714553
0.074000, 113.774884, 119.027776, 119.027776, 116.401330
0.075000, 116.401330, 119.027776, 116.401330, 115.088107
0.076000, 117.714553, 115.088107, 116.401330, 116.401330
0.077000, 116.401330, 116.401330, 117.714553, 117.714553
0.078000, 116.401330, 117.714553, 116.401330, 117.714553
0.079000, 116.401330, 116.401330, 117.714553, 116.401330
0.080000, 115.088107, 115.088107, 115.088107, 117.714553
0.081000, 116.401330, 117.714553, 119.027776, 116.401330
0.082000, 117.714553, 116.401330, 119.027776, 117.714553
0.083000, 116.401330, 116.401330, 113.774884, 116.401330
0.084000, 119.027776, 117.714553, 117.714553, 116.401330
0.085000, 115.088107, 116.401330, 115.088107, 115.088107
0.086000, 119.027776, 116.401330, 115.088107, 115.088107
