---> createTask() Called 
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = 6299816
createTaskStatus = 0
After createTask() ---> taskHandle = -1578569248
startTask() ---> taskHandle = -1578569248
time, line0, line1, line2, line3
0.000000, 117.714553, 116.401330, 119.027776, 116.401330
0.001000, 120.340999, 119.027776, 120.340999, 117.714553
0.002000, 117.714553, 120.340999, 119.027776, 119.027776
0.003000, 117.714553, 117.714553, 115.088107, 116.401330
0.004000, 119.027776, 116.401330, 116.401330, 113.774884
0.005000, 117.714553, 115.088107, 117.714553, 117.714553
0.006000, 119.027776, 117.714553, 117.714553, 119.027776
0.007000, 116.401330, 115.088107, 117.714553, 116.401330
0.008000, 116.401330, 117.714553, 117.714553, 117.714553
0.009000, 115.088107, 117.714553, 117.714553, 115.088107
0.010000, 116.401330, 119.027776, 120.340999, 116.401330
0.011000, 116.401330, 117.714553, 116.401330, 116.401330
0.012000, 117.714553, 117.714553, 117.714553, 113.774884
0.013000, 116.401330, 117.714553, 117.714553, 116.401330
0.014000, 117.714553, 117.714553, 117.714553, 116.401330
0.015000, 116.401330, 117.714553, 113.774884, 116.401330
0.016000, 116.401330, 117.714553, 119.027776, 116.401330
0.017000, 116.401330, 117.714553, 115.088107, 115.088107
0.018000, 116.401330, 117.714553, 119.027776, 116.401330
0.019000, 113.774884, 116.401330, 117.714553, 116.401330
0.020000, 115.088107, 115.088107, 116.401330, 120.340999
0.021000, 111.148439, 116.401330, 117.714553, 116.401330
0.022000, 112.461662, 115.088107, 113.774884, 116.401330
0.023000, 113.774884, 112.461662, 113.774884, 115.088107
0.024000, 117.714553, 117.714553, 115.088107, 117.714553
0.025000, 116.401330, 116.401330, 115.088107, 119.027776
0.026000, 115.088107, 116.401330, 116.401330, 116.401330
0.027000, 115.088107, 116.401330, 115.088107, 115.088107
0.028000, 116.401330, 116.401330, 117.714553, 116.401330
0.029000, 116.401330, 116.401330, 116.401330, 117.714553
0.030000, 117.714553, 117.714553, 117.714553, 116.401330
0.031000, 117.714553, 116.401330, 116.401330, 116.401330
0.032000, 116.401330, 113.774884, 117.714553, 117.714553
0.033000, 115.088107, 119.027776, 119.027776, 120.340999
0.034000, 116.401330, 116.401330, 115.088107, 116.401330
0.035000, 115.088107, 116.401330, 116.401330, 116.401330
0.036000, 115.088107, 116.401330, 115.088107, 116.401330
0.037000, 115.088107, 116.401330, 116.401330, 115.088107
0.038000, 115.088107, 115.088107, 115.088107, 116.401330
0.039000, 113.774884, 115.088107, 113.774884, 115.088107
0.040000, 117.714553, 115.088107, 117.714553, 117.714553
0.041000, 113.774884, 115.088107, 115.088107, 115.088107
0.042000, 113.774884, 115.088107, 115.088107, 113.774884
0.043000, 117.714553, 117.714553, 116.401330, 117.714553
0.044000, 115.088107, 115.088107, 116.401330, 116.401330
0.045000, 116.401330, 116.401330, 113.774884, 116.401330
0.046000, 115.088107, 115.088107, 113.774884, 117.714553
0.047000, 116.401330, 116.401330, 115.088107, 116.401330
0.048000, 116.401330, 119.027776, 117.714553, 117.714553
0.049000, 115.088107, 117.714553, 117.714553, 116.401330
0.050000, 117.714553, 117.714553, 119.027776, 116.401330
0.051000, 113.774884, 115.088107, 117.714553, 119.027776
0.052000, 115.088107, 119.027776, 115.088107, 115.088107
0.053000, 113.774884, 116.401330, 117.714553, 116.401330
0.054000, 113.774884, 113.774884, 112.461662, 112.461662
0.055000, 115.088107, 113.774884, 115.088107, 113.774884
0.056000, 112.461662, 115.088107, 116.401330, 115.088107
0.057000, 116.401330, 115.088107, 115.088107, 116.401330
0.058000, 115.088107, 116.401330, 116.401330, 116.401330
0.059000, 115.088107, 116.401330, 117.714553, 117.714553
0.060000, 116.401330, 116.401330, 113.774884, 115.088107
0.061000, 116.401330, 117.714553, 117.714553, 115.088107
0.062000, 116.401330, 116.401330, 117.714553, 117.714553
0.063000, 117.714553, 116.401330, 115.088107, 116.401330
0.064000, 119.027776, 117.714553, 120.340999, 116.401330
0.065000, 117.714553, 119.027776, 116.401330, 117.714553
0.066000, 115.088107, 115.088107, 117.714553, 115.088107
0.067000, 115.088107, 116.401330, 116.401330, 119.027776
0.068000, 117.714553, 116.401330, 116.401330, 117.714553
0.069000, 116.401330, 115.088107, 115.088107, 115.088107
0.070000, 113.774884, 115.088107, 113.774884, 112.461662
0.071000, 115.088107, 113.774884, 115.088107, 115.088107
0.072000, 115.088107, 115.088107, 115.088107, 115.088107
0.073000, 115.088107, 115.088107, 116.401330, 115.088107
0.074000, 113.774884, 119.027776, 117.714553, 116.401330
0.075000, 116.401330, 115.088107, 116.401330, 116.401330
0.076000, 113.774884, 116.401330, 113.774884, 119.027776
0.077000, 116.401330, 116.401330, 116.401330, 116.401330
0.078000, 116.401330, 119.027776, 115.088107, 115.088107
0.079000, 115.088107, 117.714553, 115.088107, 117.714553
0.080000, 115.088107, 116.401330, 116.401330, 117.714553
0.081000, 116.401330, 117.714553, 117.714553, 116.401330
0.082000, 117.714553, 115.088107, 113.774884, 113.774884
0.083000, 115.088107, 116.401330, 116.401330, 115.088107
0.084000, 116.401330, 117.714553, 116.401330, 116.401330
0.085000, 112.461662, 116.401330, 115.088107, 116.401330
0.086000, 113.774884, 116.401330, 115.088107, 116.401330
0.087000, 115.088107, 113.774884, 115.088107, 113.774884
0.088000, 113.774884, 113.774884, 115.088107, 117.714553
0.089000, 115.088107, 116.401330, 115.088107, 115.088107
0.090000, 116.401330, 117.714553, 119.027776, 116.401330
0.091000, 115.088107, 117.714553, 117.714553, 113.774884
0.092000, 117.714553, 115.088107, 116.401330, 116.401330
0.093000, 115.088107, 115.088107, 116.401330, 115.088107
0.094000, 117.714553, 119.027776, 116.401330, 116.401330
0.095000, 113.774884, 116.401330, 115.088107, 116.401330
0.096000, 117.714553, 117.714553, 117.714553, 116.401330
0.097000, 116.401330, 116.401330, 117.714553, 116.401330
0.098000, 113.774884, 116.401330, 117.714553, 116.401330
0.099000, 113.774884, 116.401330, 117.714553, 116.401330
0.100000, 115.088107, 116.401330, 115.088107, 119.027776
0.101000, 116.401330, 117.714553, 116.401330, 116.401330
0.102000, 115.088107, 112.461662, 112.461662, 113.774884
0.103000, 113.774884, 113.774884, 115.088107, 115.088107
0.104000, 112.461662, 113.774884, 112.461662, 112.461662
0.105000, 113.774884, 112.461662, 117.714553, 115.088107
0.106000, 113.774884, 113.774884, 115.088107, 113.774884
0.107000, 112.461662, 115.088107, 117.714553, 117.714553
0.108000, 115.088107, 115.088107, 115.088107, 113.774884
0.109000, 113.774884, 115.088107, 113.774884, 116.401330
0.110000, 117.714553, 116.401330, 116.401330, 116.401330
0.111000, 113.774884, 116.401330, 117.714553, 115.088107
0.112000, 117.714553, 116.401330, 117.714553, 116.401330
0.113000, 116.401330, 119.027776, 116.401330, 116.401330
0.114000, 115.088107, 115.088107, 116.401330, 119.027776
0.115000, 116.401330, 120.340999, 117.714553, 115.088107
0.116000, 117.714553, 113.774884, 115.088107, 115.088107
0.117000, 116.401330, 116.401330, 117.714553, 116.401330
0.118000, 112.461662, 115.088107, 113.774884, 115.088107
0.119000, 112.461662, 113.774884, 113.774884, 112.461662
0.120000, 113.774884, 115.088107, 113.774884, 113.774884
0.121000, 115.088107, 113.774884, 115.088107, 116.401330
0.122000, 113.774884, 113.774884, 117.714553, 113.774884
0.123000, 116.401330, 115.088107, 116.401330, 116.401330
0.124000, 116.401330, 116.401330, 115.088107, 115.088107
0.125000, 115.088107, 116.401330, 116.401330, 116.401330
0.126000, 115.088107, 115.088107, 119.027776, 116.401330
0.127000, 116.401330, 116.401330, 117.714553, 117.714553
0.128000, 115.088107, 116.401330, 115.088107, 116.401330
0.129000, 113.774884, 115.088107, 116.401330, 115.088107
0.130000, 116.401330, 116.401330, 119.027776, 117.714553
0.131000, 115.088107, 115.088107, 117.714553, 115.088107
0.132000, 117.714553, 115.088107, 116.401330, 116.401330
0.133000, 112.461662, 115.088107, 116.401330, 120.340999
0.134000, 117.714553, 117.714553, 119.027776, 117.714553
0.135000, 116.401330, 117.714553, 117.714553, 117.714553
0.136000, 115.088107, 116.401330, 115.088107, 117.714553
0.137000, 113.774884, 115.088107, 116.401330, 115.088107
0.138000, 113.774884, 113.774884, 113.774884, 115.088107
0.139000, 117.714553, 116.401330, 116.401330, 117.714553
0.140000, 116.401330, 117.714553, 116.401330, 116.401330
0.141000, 116.401330, 117.714553, 116.401330, 116.401330
0.142000, 115.088107, 117.714553, 116.401330, 115.088107
0.143000, 116.401330, 117.714553, 116.401330, 116.401330
0.144000, 116.401330, 116.401330, 115.088107, 116.401330
0.145000, 115.088107, 115.088107, 113.774884, 115.088107
0.146000, 115.088107, 117.714553, 117.714553, 116.401330
0.147000, 116.401330, 115.088107, 117.714553, 116.401330
0.148000, 115.088107, 115.088107, 116.401330, 116.401330
0.149000, 115.088107, 113.774884, 115.088107, 119.027776
0.150000, 115.088107, 116.401330, 113.774884, 115.088107
0.151000, 113.774884, 116.401330, 116.401330, 115.088107
0.152000, 116.401330, 116.401330, 116.401330, 116.401330
0.153000, 113.774884, 112.461662, 113.774884, 115.088107
0.154000, 112.461662, 113.774884, 115.088107, 113.774884
0.155000, 113.774884, 113.774884, 113.774884, 112.461662
0.156000, 113.774884, 115.088107, 115.088107, 115.088107
0.157000, 113.774884, 115.088107, 116.401330, 117.714553
0.158000, 115.088107, 113.774884, 117.714553, 115.088107
0.159000, 115.088107, 117.714553, 116.401330, 115.088107
0.160000, 115.088107, 117.714553, 115.088107, 115.088107
0.161000, 115.088107, 116.401330, 116.401330, 116.401330
0.162000, 115.088107, 116.401330, 116.401330, 115.088107
0.163000, 113.774884, 116.401330, 116.401330, 115.088107
0.164000, 117.714553, 116.401330, 115.088107, 115.088107
0.165000, 116.401330, 113.774884, 115.088107, 113.774884
0.166000, 113.774884, 115.088107, 117.714553, 115.088107
0.167000, 116.401330, 115.088107, 116.401330, 116.401330
0.168000, 117.714553, 113.774884, 116.401330, 117.714553
0.169000, 115.088107, 115.088107, 115.088107, 116.401330
0.170000, 113.774884, 115.088107, 113.774884, 115.088107
0.171000, 113.774884, 116.401330, 115.088107, 112.461662
0.172000, 115.088107, 112.461662, 113.774884, 113.774884
0.173000, 112.461662, 115.088107, 113.774884, 115.088107
0.174000, 116.401330, 115.088107, 115.088107, 116.401330
0.175000, 115.088107, 115.088107, 115.088107, 116.401330
0.176000, 115.088107, 115.088107, 116.401330, 115.088107
0.177000, 117.714553, 116.401330, 117.714553, 115.088107
0.178000, 115.088107, 115.088107, 116.401330, 116.401330
0.179000, 116.401330, 117.714553, 115.088107, 116.401330
0.180000, 113.774884, 115.088107, 117.714553, 116.401330
0.181000, 116.401330, 116.401330, 117.714553, 117.714553
0.182000, 115.088107, 115.088107, 117.714553, 115.088107
0.183000, 116.401330, 115.088107, 116.401330, 119.027776
0.184000, 117.714553, 115.088107, 115.088107, 116.401330
0.185000, 115.088107, 113.774884, 116.401330, 116.401330
0.186000, 112.461662, 115.088107, 113.774884, 115.088107
0.187000, 113.774884, 113.774884, 117.714553, 115.088107
0.188000, 112.461662, 113.774884, 116.401330, 115.088107
0.189000, 113.774884, 112.461662, 113.774884, 115.088107
0.190000, 112.461662, 117.714553, 113.774884, 116.401330
0.191000, 113.774884, 119.027776, 115.088107, 115.088107
0.192000, 115.088107, 116.401330, 113.774884, 115.088107
0.193000, 115.088107, 117.714553, 116.401330, 115.088107
0.194000, 116.401330, 116.401330, 116.401330, 116.401330
0.195000, 113.774884, 115.088107, 116.401330, 117.714553
0.196000, 116.401330, 116.401330, 116.401330, 113.774884
0.197000, 116.401330, 116.401330, 116.401330, 116.401330
0.198000, 116.401330, 115.088107, 115.088107, 115.088107
0.199000, 116.401330, 117.714553, 115.088107, 115.088107
0.200000, 116.401330, 117.714553, 115.088107, 113.774884
0.201000, 115.088107, 113.774884, 116.401330, 116.401330
0.202000, 115.088107, 113.774884, 116.401330, 113.774884
0.203000, 113.774884, 115.088107, 115.088107, 113.774884
0.204000, 113.774884, 112.461662, 113.774884, 113.774884
0.205000, 113.774884, 115.088107, 113.774884, 116.401330
0.206000, 116.401330, 113.774884, 113.774884, 113.774884
0.207000, 115.088107, 115.088107, 116.401330, 116.401330
0.208000, 115.088107, 117.714553, 115.088107, 116.401330
0.209000, 115.088107, 115.088107, 117.714553, 117.714553
0.210000, 116.401330, 116.401330, 117.714553, 115.088107
0.211000, 115.088107, 116.401330, 115.088107, 116.401330
0.212000, 115.088107, 116.401330, 113.774884, 115.088107
0.213000, 115.088107, 113.774884, 116.401330, 115.088107
0.214000, 112.461662, 117.714553, 115.088107, 117.714553
0.215000, 116.401330, 116.401330, 115.088107, 116.401330
0.216000, 116.401330, 115.088107, 116.401330, 116.401330
0.217000, 116.401330, 115.088107, 115.088107, 116.401330
0.218000, 115.088107, 115.088107, 115.088107, 113.774884
0.219000, 113.774884, 113.774884, 113.774884, 116.401330
0.220000, 112.461662, 115.088107, 115.088107, 112.461662
0.221000, 112.461662, 113.774884, 112.461662, 115.088107
0.222000, 112.461662, 113.774884, 115.088107, 113.774884
0.223000, 115.088107, 113.774884, 116.401330, 116.401330
0.224000, 115.088107, 116.401330, 113.774884, 113.774884
0.225000, 115.088107, 115.088107, 113.774884, 113.774884
0.226000, 116.401330, 116.401330, 117.714553, 115.088107
0.227000, 117.714553, 115.088107, 117.714553, 115.088107
0.228000, 115.088107, 115.088107, 117.714553, 115.088107
0.229000, 115.088107, 116.401330, 116.401330, 113.774884
0.230000, 116.401330, 115.088107, 115.088107, 115.088107
0.231000, 113.774884, 115.088107, 115.088107, 115.088107
0.232000, 115.088107, 115.088107, 115.088107, 116.401330
0.233000, 116.401330, 115.088107, 117.714553, 116.401330
0.234000, 115.088107, 116.401330, 116.401330, 115.088107
0.235000, 116.401330, 117.714553, 116.401330, 113.774884
0.236000, 115.088107, 117.714553, 115.088107, 113.774884
0.237000, 111.148439, 112.461662, 115.088107, 115.088107
0.238000, 111.148439, 112.461662, 112.461662, 113.774884
0.239000, 115.088107, 112.461662, 115.088107, 113.774884
0.240000, 115.088107, 115.088107, 115.088107, 116.401330
0.241000, 116.401330, 116.401330, 116.401330, 116.401330
0.242000, 116.401330, 116.401330, 115.088107, 115.088107
0.243000, 115.088107, 113.774884, 116.401330, 116.401330
0.244000, 115.088107, 115.088107, 113.774884, 113.774884
0.245000, 115.088107, 116.401330, 116.401330, 116.401330
0.246000, 115.088107, 116.401330, 116.401330, 116.401330
0.247000, 115.088107, 113.774884, 113.774884, 116.401330
0.248000, 115.088107, 115.088107, 115.088107, 113.774884
0.249000, 115.088107, 113.774884, 115.088107, 115.088107
0.250000, 116.401330, 115.088107, 113.774884, 115.088107
0.251000, 116.401330, 116.401330, 113.774884, 115.088107
0.252000, 113.774884, 116.401330, 116.401330, 115.088107
0.253000, 115.088107, 117.714553, 116.401330, 115.088107
0.254000, 112.461662, 116.401330, 112.461662, 115.088107
0.255000, 112.461662, 113.774884, 115.088107, 112.461662
0.256000, 113.774884, 115.088107, 116.401330, 113.774884
0.257000, 112.461662, 113.774884, 111.148439, 113.774884
0.258000, 115.088107, 115.088107, 113.774884, 116.401330
0.259000, 116.401330, 117.714553, 116.401330, 112.461662
0.260000, 116.401330, 115.088107, 113.774884, 116.401330
0.261000, 116.401330, 116.401330, 115.088107, 113.774884
0.262000, 115.088107, 116.401330, 112.461662, 115.088107
0.263000, 115.088107, 115.088107, 116.401330, 117.714553
0.264000, 115.088107, 117.714553, 116.401330, 116.401330
0.265000, 116.401330, 116.401330, 116.401330, 116.401330
0.266000, 115.088107, 115.088107, 115.088107, 115.088107
0.267000, 115.088107, 115.088107, 112.461662, 116.401330
0.268000, 116.401330, 117.714553, 113.774884, 115.088107
0.269000, 113.774884, 113.774884, 113.774884, 113.774884
0.270000, 111.148439, 113.774884, 112.461662, 115.088107
0.271000, 113.774884, 115.088107, 112.461662, 116.401330
0.272000, 111.148439, 112.461662, 115.088107, 115.088107
0.273000, 109.835216, 113.774884, 112.461662, 115.088107
0.274000, 113.774884, 115.088107, 115.088107, 117.714553
0.275000, 113.774884, 113.774884, 116.401330, 116.401330
0.276000, 116.401330, 115.088107, 115.088107, 116.401330
0.277000, 115.088107, 116.401330, 117.714553, 115.088107
0.278000, 112.461662, 115.088107, 115.088107, 115.088107
0.279000, 113.774884, 116.401330, 117.714553, 119.027776
0.280000, 116.401330, 116.401330, 116.401330, 113.774884
0.281000, 115.088107, 116.401330, 113.774884, 115.088107
0.282000, 117.714553, 115.088107, 115.088107, 115.088107
0.283000, 113.774884, 116.401330, 116.401330, 116.401330
0.284000, 113.774884, 115.088107, 116.401330, 115.088107
0.285000, 112.461662, 112.461662, 113.774884, 116.401330
0.286000, 115.088107, 113.774884, 111.148439, 113.774884
0.287000, 113.774884, 111.148439, 115.088107, 113.774884
0.288000, 113.774884, 111.148439, 111.148439, 113.774884
0.289000, 112.461662, 112.461662, 115.088107, 115.088107
0.290000, 116.401330, 115.088107, 117.714553, 115.088107
0.291000, 115.088107, 115.088107, 117.714553, 115.088107
0.292000, 115.088107, 117.714553, 116.401330, 115.088107
0.293000, 115.088107, 117.714553, 116.401330, 112.461662
0.294000, 115.088107, 115.088107, 117.714553, 116.401330
0.295000, 115.088107, 116.401330, 115.088107, 113.774884
0.296000, 112.461662, 112.461662, 116.401330, 116.401330
0.297000, 117.714553, 115.088107, 115.088107, 117.714553
0.298000, 116.401330, 115.088107, 116.401330, 115.088107
0.299000, 112.461662, 115.088107, 116.401330, 116.401330
0.300000, 115.088107, 115.088107, 116.401330, 115.088107
0.301000, 112.461662, 116.401330, 116.401330, 115.088107
0.302000, 115.088107, 116.401330, 115.088107, 115.088107
0.303000, 113.774884, 115.088107, 113.774884, 113.774884
0.304000, 113.774884, 113.774884, 113.774884, 115.088107
0.305000, 111.148439, 113.774884, 113.774884, 113.774884
0.306000, 115.088107, 112.461662, 116.401330, 116.401330
0.307000, 115.088107, 115.088107, 115.088107, 116.401330
0.308000, 113.774884, 115.088107, 115.088107, 115.088107
0.309000, 115.088107, 115.088107, 115.088107, 115.088107
0.310000, 113.774884, 113.774884, 116.401330, 116.401330
0.311000, 117.714553, 115.088107, 115.088107, 117.714553
0.312000, 116.401330, 115.088107, 116.401330, 116.401330
0.313000, 115.088107, 113.774884, 115.088107, 115.088107
0.314000, 116.401330, 115.088107, 116.401330, 115.088107
0.315000, 115.088107, 115.088107, 116.401330, 116.401330
0.316000, 116.401330, 115.088107, 115.088107, 115.088107
0.317000, 115.088107, 115.088107, 115.088107, 116.401330
0.318000, 112.461662, 112.461662, 116.401330, 115.088107
0.319000, 113.774884, 112.461662, 111.148439, 111.148439
0.320000, 115.088107, 117.714553, 115.088107, 115.088107
0.321000, 115.088107, 115.088107, 116.401330, 113.774884
0.322000, 115.088107, 113.774884, 113.774884, 113.774884
0.323000, 113.774884, 113.774884, 116.401330, 113.774884
0.324000, 115.088107, 116.401330, 115.088107, 115.088107
0.325000, 115.088107, 113.774884, 115.088107, 115.088107
0.326000, 115.088107, 115.088107, 117.714553, 115.088107
0.327000, 115.088107, 115.088107, 116.401330, 116.401330
0.328000, 115.088107, 113.774884, 116.401330, 116.401330
0.329000, 116.401330, 117.714553, 115.088107, 113.774884
