---> createTask() Called With Changes
DAQ_TASK_NAME = SOMETHING_NEW
taskHandle = 0
&taskHandle = 6299816
createTaskStatus = 0
After createTask() ---> taskHandle = -2088709664
startTask() ---> taskHandle = -2088709664


Sum = 1783293664
time, line0, line1, line2, line3
0.000000, 115.088107, 116.401330, 116.401330, 115.088107
0.001000, 116.401330, 117.714553, 117.714553, 115.088107
0.002000, 116.401330, 116.401330, 116.401330, 116.401330
0.003000, 115.088107, 113.774884, 115.088107, 117.714553
0.004000, 115.088107, 115.088107, 116.401330, 116.401330
0.005000, 116.401330, 113.774884, 115.088107, 116.401330
0.006000, 115.088107, 115.088107, 115.088107, 111.148439
0.007000, 119.027776, 116.401330, 113.774884, 113.774884
0.008000, 113.774884, 115.088107, 115.088107, 116.401330
0.009000, 113.774884, 113.774884, 117.714553, 115.088107
0.010000, 116.401330, 115.088107, 115.088107, 116.401330
0.011000, 117.714553, 113.774884, 113.774884, 115.088107
0.012000, 116.401330, 115.088107, 115.088107, 115.088107
0.013000, 115.088107, 113.774884, 113.774884, 116.401330
0.014000, 113.774884, 116.401330, 116.401330, 116.401330
0.015000, 115.088107, 116.401330, 116.401330, 116.401330
0.016000, 117.714553, 112.461662, 116.401330, 116.401330
0.017000, 115.088107, 115.088107, 115.088107, 113.774884
0.018000, 116.401330, 113.774884, 115.088107, 116.401330
0.019000, 112.461662, 115.088107, 115.088107, 115.088107
0.020000, 111.148439, 113.774884, 116.401330, 115.088107
0.021000, 115.088107, 115.088107, 113.774884, 115.088107
0.022000, 116.401330, 115.088107, 115.088107, 115.088107
0.023000, 109.835216, 113.774884, 115.088107, 113.774884
0.024000, 113.774884, 115.088107, 115.088107, 116.401330
0.025000, 113.774884, 113.774884, 113.774884, 112.461662
0.026000, 115.088107, 113.774884, 116.401330, 116.401330
0.027000, 116.401330, 113.774884, 115.088107, 113.774884
0.028000, 115.088107, 115.088107, 117.714553, 115.088107
0.029000, 112.461662, 116.401330, 113.774884, 113.774884
0.030000, 115.088107, 117.714553, 116.401330, 116.401330
0.031000, 117.714553, 115.088107, 116.401330, 115.088107
0.032000, 116.401330, 115.088107, 115.088107, 113.774884
0.033000, 113.774884, 116.401330, 116.401330, 113.774884
0.034000, 113.774884, 116.401330, 115.088107, 113.774884
0.035000, 115.088107, 115.088107, 115.088107, 112.461662
0.036000, 113.774884, 115.088107, 115.088107, 115.088107
0.037000, 115.088107, 116.401330, 115.088107, 116.401330
0.038000, 115.088107, 113.774884, 115.088107, 115.088107
0.039000, 113.774884, 115.088107, 116.401330, 115.088107
0.040000, 113.774884, 113.774884, 113.774884, 113.774884
0.041000, 115.088107, 115.088107, 113.774884, 115.088107
0.042000, 116.401330, 112.461662, 113.774884, 113.774884
0.043000, 113.774884, 113.774884, 116.401330, 115.088107
0.044000, 112.461662, 116.401330, 115.088107, 115.088107
0.045000, 113.774884, 113.774884, 116.401330, 115.088107
0.046000, 115.088107, 115.088107, 115.088107, 115.088107
0.047000, 113.774884, 116.401330, 115.088107, 115.088107
0.048000, 113.774884, 113.774884, 115.088107, 116.401330
0.049000, 113.774884, 116.401330, 115.088107, 113.774884
0.050000, 115.088107, 115.088107, 113.774884, 113.774884
0.051000, 115.088107, 112.461662, 113.774884, 115.088107
0.052000, 115.088107, 113.774884, 115.088107, 116.401330
0.053000, 113.774884, 115.088107, 113.774884, 115.088107
0.054000, 113.774884, 115.088107, 113.774884, 112.461662
0.055000, 115.088107, 113.774884, 116.401330, 112.461662
