time, line0, line1, line2, line3
0.000000, 115.088107, 117.714553, 113.774884, 115.088107
0.001000, 116.401330, 117.714553, 117.714553, 115.088107
0.002000, 115.088107, 115.088107, 113.774884, 116.401330
0.003000, 115.088107, 113.774884, 115.088107, 117.714553
0.004000, 113.774884, 117.714553, 116.401330, 115.088107
0.005000, 115.088107, 115.088107, 115.088107, 112.461662
0.006000, 115.088107, 113.774884, 116.401330, 116.401330
0.007000, 115.088107, 115.088107, 116.401330, 113.774884
0.008000, 116.401330, 116.401330, 115.088107, 116.401330
0.009000, 115.088107, 113.774884, 115.088107, 115.088107
0.010000, 115.088107, 113.774884, 116.401330, 117.714553
0.011000, 116.401330, 116.401330, 117.714553, 117.714553
0.012000, 120.340999, 117.714553, 117.714553, 116.401330
0.013000, 116.401330, 116.401330, 119.027776, 119.027776
0.014000, 116.401330, 120.340999, 117.714553, 116.401330
0.015000, 116.401330, 116.401330, 117.714553, 116.401330
0.016000, 117.714553, 113.774884, 117.714553, 115.088107
0.017000, 115.088107, 115.088107, 115.088107, 116.401330
0.018000, 113.774884, 116.401330, 116.401330, 115.088107
0.019000, 112.461662, 113.774884, 113.774884, 116.401330
0.020000, 116.401330, 116.401330, 116.401330, 115.088107
0.021000, 115.088107, 117.714553, 116.401330, 115.088107
0.022000, 115.088107, 113.774884, 113.774884, 117.714553
0.023000, 113.774884, 115.088107, 115.088107, 116.401330
0.024000, 115.088107, 115.088107, 117.714553, 116.401330
0.025000, 115.088107, 116.401330, 113.774884, 115.088107
0.026000, 115.088107, 115.088107, 115.088107, 116.401330
0.027000, 115.088107, 116.401330, 112.461662, 116.401330
0.028000, 117.714553, 115.088107, 115.088107, 116.401330
0.029000, 115.088107, 116.401330, 115.088107, 116.401330
0.030000, 115.088107, 116.401330, 116.401330, 115.088107
0.031000, 116.401330, 117.714553, 117.714553, 116.401330
0.032000, 113.774884, 116.401330, 112.461662, 113.774884
0.033000, 115.088107, 115.088107, 116.401330, 117.714553
0.034000, 116.401330, 116.401330, 117.714553, 115.088107
0.035000, 115.088107, 112.461662, 113.774884, 112.461662
0.036000, 113.774884, 116.401330, 116.401330, 116.401330
0.037000, 115.088107, 115.088107, 113.774884, 113.774884
0.038000, 111.148439, 116.401330, 116.401330, 112.461662
0.039000, 115.088107, 116.401330, 113.774884, 116.401330
0.040000, 115.088107, 119.027776, 117.714553, 115.088107
0.041000, 116.401330, 115.088107, 116.401330, 115.088107
0.042000, 116.401330, 113.774884, 115.088107, 115.088107
0.043000, 115.088107, 116.401330, 117.714553, 116.401330
0.044000, 115.088107, 119.027776, 116.401330, 115.088107
0.045000, 117.714553, 115.088107, 115.088107, 117.714553
0.046000, 117.714553, 117.714553, 117.714553, 115.088107
0.047000, 116.401330, 115.088107, 116.401330, 116.401330
0.048000, 116.401330, 115.088107, 113.774884, 116.401330
0.049000, 115.088107, 115.088107, 115.088107, 113.774884
0.050000, 115.088107, 115.088107, 113.774884, 116.401330
0.051000, 113.774884, 115.088107, 115.088107, 115.088107
0.052000, 113.774884, 115.088107, 116.401330, 115.088107
0.053000, 113.774884, 115.088107, 115.088107, 116.401330
