Hello from process: 0
Hello from process: 3
Hello from process: 1
Hello from process: 2
---> createTask()
DAQ_TASK_NAME = 
taskHandle = 0
&taskHandle = 6299816
createTaskStatus = 0
After createTask() ---> taskHandle = 1645855200
startTask() ---> taskHandle = 1645855200

Sum = -1627639808
NIDAQ testing complete!
time, line0, line1, line2, line3
0.000000, 115.569011, 119.508653, 116.882225, 116.882225
0.001000, 120.821867, 119.508653, 120.821867, 118.195439
0.002000, 118.195439, 116.882225, 118.195439, 115.569011
0.003000, 115.569011, 115.569011, 118.195439, 118.195439
0.004000, 116.882225, 115.569011, 118.195439, 119.508653
0.005000, 116.882225, 118.195439, 118.195439, 118.195439
0.006000, 118.195439, 119.508653, 119.508653, 114.255796
0.007000, 118.195439, 115.569011, 116.882225, 118.195439
0.008000, 118.195439, 119.508653, 119.508653, 118.195439
0.009000, 116.882225, 116.882225, 120.821867, 116.882225
0.010000, 118.195439, 118.195439, 119.508653, 116.882225
0.011000, 116.882225, 118.195439, 116.882225, 118.195439
0.012000, 118.195439, 118.195439, 118.195439, 119.508653
0.013000, 116.882225, 116.882225, 119.508653, 118.195439
0.014000, 116.882225, 116.882225, 119.508653, 118.195439
0.015000, 116.882225, 118.195439, 118.195439, 120.821867
0.016000, 116.882225, 120.821867, 116.882225, 118.195439
0.017000, 118.195439, 115.569011, 116.882225, 120.821867
0.018000, 119.508653, 116.882225, 118.195439, 116.882225
0.019000, 118.195439, 118.195439, 118.195439, 118.195439
0.020000, 118.195439, 116.882225, 118.195439, 118.195439
0.021000, 119.508653, 118.195439, 116.882225, 118.195439
0.022000, 118.195439, 118.195439, 118.195439, 115.569011
0.023000, 116.882225, 118.195439, 119.508653, 119.508653
0.024000, 116.882225, 120.821867, 116.882225, 118.195439
0.025000, 118.195439, 118.195439, 116.882225, 118.195439
0.026000, 118.195439, 116.882225, 116.882225, 116.882225
0.027000, 118.195439, 119.508653, 120.821867, 115.569011
0.028000, 115.569011, 115.569011, 116.882225, 116.882225
0.029000, 116.882225, 116.882225, 119.508653, 118.195439
0.030000, 116.882225, 116.882225, 118.195439, 116.882225
0.031000, 116.882225, 116.882225, 115.569011, 119.508653
0.032000, 116.882225, 116.882225, 120.821867, 116.882225
0.033000, 119.508653, 116.882225, 118.195439, 118.195439
0.034000, 119.508653, 119.508653, 120.821867, 119.508653
0.035000, 119.508653, 119.508653, 116.882225, 116.882225
0.036000, 119.508653, 118.195439, 116.882225, 120.821867
0.037000, 118.195439, 119.508653, 118.195439, 118.195439
0.038000, 116.882225, 114.255796, 119.508653, 119.508653
0.039000, 116.882225, 116.882225, 116.882225, 116.882225
0.040000, 115.569011, 115.569011, 116.882225, 119.508653
0.041000, 116.882225, 116.882225, 118.195439, 119.508653
0.042000, 116.882225, 116.882225, 120.821867, 118.195439
0.043000, 119.508653, 118.195439, 116.882225, 118.195439
0.044000, 116.882225, 116.882225, 116.882225, 116.882225
0.045000, 118.195439, 118.195439, 116.882225, 118.195439
0.046000, 118.195439, 118.195439, 118.195439, 118.195439
0.047000, 119.508653, 118.195439, 119.508653, 116.882225
0.048000, 119.508653, 120.821867, 119.508653, 116.882225
0.049000, 116.882225, 118.195439, 118.195439, 118.195439
0.050000, 116.882225, 115.569011, 118.195439, 119.508653
0.051000, 116.882225, 116.882225, 119.508653, 114.255796
0.052000, 115.569011, 116.882225, 118.195439, 119.508653
0.053000, 116.882225, 116.882225, 116.882225, 115.569011
0.054000, 118.195439, 116.882225, 118.195439, 119.508653
0.055000, 119.508653, 119.508653, 119.508653, 118.195439
0.056000, 118.195439, 116.882225, 119.508653, 118.195439
0.057000, 115.569011, 115.569011, 112.942582, 115.569011
0.058000, 116.882225, 115.569011, 118.195439, 118.195439
0.059000, 116.882225, 116.882225, 116.882225, 114.255796
0.060000, 116.882225, 115.569011, 118.195439, 118.195439
0.061000, 118.195439, 116.882225, 118.195439, 114.255796
0.062000, 118.195439, 116.882225, 118.195439, 118.195439
0.063000, 115.569011, 116.882225, 118.195439, 119.508653
0.064000, 118.195439, 116.882225, 119.508653, 118.195439
0.065000, 118.195439, 116.882225, 120.821867, 116.882225
0.066000, 116.882225, 118.195439, 118.195439, 118.195439
0.067000, 118.195439, 116.882225, 119.508653, 118.195439
0.068000, 112.942582, 111.629368, 115.569011, 116.882225
0.069000, 116.882225, 116.882225, 118.195439, 118.195439
0.070000, 116.882225, 115.569011, 119.508653, 116.882225
0.071000, 118.195439, 114.255796, 118.195439, 116.882225
0.072000, 115.569011, 118.195439, 115.569011, 116.882225
0.073000, 115.569011, 119.508653, 116.882225, 115.569011
0.074000, 118.195439, 118.195439, 116.882225, 116.882225
0.075000, 115.569011, 115.569011, 114.255796, 118.195439
0.076000, 118.195439, 120.821867, 116.882225, 115.569011
0.077000, 119.508653, 116.882225, 118.195439, 116.882225
0.078000, 119.508653, 116.882225, 114.255796, 116.882225
0.079000, 116.882225, 114.255796, 118.195439, 118.195439
0.080000, 116.882225, 115.569011, 116.882225, 115.569011
0.081000, 118.195439, 116.882225, 119.508653, 119.508653
0.082000, 116.882225, 118.195439, 116.882225, 118.195439
0.083000, 119.508653, 116.882225, 118.195439, 115.569011
0.084000, 116.882225, 115.569011, 118.195439, 118.195439
0.085000, 118.195439, 115.569011, 116.882225, 116.882225
0.086000, 115.569011, 116.882225, 118.195439, 118.195439
0.087000, 115.569011, 116.882225, 115.569011, 118.195439
0.088000, 118.195439, 116.882225, 115.569011, 116.882225
0.089000, 115.569011, 116.882225, 115.569011, 114.255796
0.090000, 115.569011, 114.255796, 115.569011, 115.569011
0.091000, 120.821867, 116.882225, 118.195439, 114.255796
0.092000, 118.195439, 118.195439, 118.195439, 118.195439
0.093000, 118.195439, 119.508653, 116.882225, 118.195439
0.094000, 115.569011, 115.569011, 116.882225, 118.195439
0.095000, 118.195439, 114.255796, 115.569011, 118.195439
0.096000, 118.195439, 116.882225, 118.195439, 118.195439
0.097000, 116.882225, 115.569011, 119.508653, 119.508653
0.098000, 116.882225, 118.195439, 115.569011, 118.195439
0.099000, 116.882225, 116.882225, 119.508653, 119.508653
0.100000, 116.882225, 118.195439, 115.569011, 116.882225
0.101000, 118.195439, 119.508653, 118.195439, 118.195439
0.102000, 116.882225, 114.255796, 116.882225, 118.195439
0.103000, 115.569011, 116.882225, 116.882225, 119.508653
0.104000, 116.882225, 118.195439, 115.569011, 118.195439
0.105000, 116.882225, 118.195439, 118.195439, 116.882225
0.106000, 116.882225, 115.569011, 118.195439, 118.195439
0.107000, 118.195439, 116.882225, 118.195439, 118.195439
0.108000, 116.882225, 119.508653, 116.882225, 119.508653
0.109000, 118.195439, 116.882225, 118.195439, 119.508653
0.110000, 118.195439, 116.882225, 118.195439, 116.882225
0.111000, 116.882225, 115.569011, 116.882225, 116.882225
0.112000, 114.255796, 115.569011, 115.569011, 119.508653
0.113000, 116.882225, 116.882225, 116.882225, 116.882225
0.114000, 118.195439, 119.508653, 116.882225, 116.882225
0.115000, 118.195439, 116.882225, 116.882225, 118.195439
0.116000, 119.508653, 118.195439, 118.195439, 116.882225
0.117000, 116.882225, 114.255796, 118.195439, 118.195439
0.118000, 119.508653, 118.195439, 116.882225, 116.882225
0.119000, 116.882225, 115.569011, 118.195439, 116.882225
0.120000, 116.882225, 115.569011, 115.569011, 115.569011
0.121000, 116.882225, 119.508653, 118.195439, 116.882225
0.122000, 116.882225, 114.255796, 114.255796, 112.942582
0.123000, 115.569011, 115.569011, 118.195439, 115.569011
0.124000, 118.195439, 118.195439, 115.569011, 116.882225
0.125000, 116.882225, 115.569011, 118.195439, 118.195439
0.126000, 115.569011, 118.195439, 119.508653, 119.508653
0.127000, 116.882225, 116.882225, 115.569011, 116.882225
0.128000, 114.255796, 116.882225, 118.195439, 115.569011
0.129000, 115.569011, 116.882225, 116.882225, 119.508653
0.130000, 120.821867, 119.508653, 115.569011, 116.882225
0.131000, 116.882225, 118.195439, 118.195439, 116.882225
0.132000, 118.195439, 116.882225, 116.882225, 115.569011
0.133000, 119.508653, 115.569011, 115.569011, 116.882225
0.134000, 115.569011, 115.569011, 115.569011, 116.882225
0.135000, 116.882225, 118.195439, 116.882225, 116.882225
0.136000, 115.569011, 114.255796, 115.569011, 115.569011
0.137000, 118.195439, 119.508653, 116.882225, 116.882225
0.138000, 116.882225, 115.569011, 116.882225, 115.569011
0.139000, 116.882225, 115.569011, 119.508653, 115.569011
0.140000, 116.882225, 116.882225, 116.882225, 115.569011
0.141000, 116.882225, 115.569011, 116.882225, 118.195439
0.142000, 118.195439, 116.882225, 116.882225, 116.882225
0.143000, 115.569011, 118.195439, 118.195439, 116.882225
0.144000, 118.195439, 118.195439, 115.569011, 118.195439
0.145000, 115.569011, 116.882225, 115.569011, 116.882225
0.146000, 114.255796, 118.195439, 119.508653, 116.882225
0.147000, 118.195439, 118.195439, 115.569011, 115.569011
0.148000, 116.882225, 115.569011, 118.195439, 116.882225
0.149000, 116.882225, 116.882225, 118.195439, 116.882225
0.150000, 115.569011, 116.882225, 115.569011, 116.882225
0.151000, 118.195439, 116.882225, 115.569011, 119.508653
0.152000, 115.569011, 116.882225, 118.195439, 115.569011
0.153000, 119.508653, 119.508653, 115.569011, 115.569011
0.154000, 115.569011, 115.569011, 118.195439, 116.882225
0.155000, 116.882225, 115.569011, 116.882225, 115.569011
0.156000, 116.882225, 115.569011, 116.882225, 116.882225
0.157000, 114.255796, 115.569011, 116.882225, 115.569011
0.158000, 115.569011, 115.569011, 115.569011, 118.195439
0.159000, 118.195439, 116.882225, 115.569011, 114.255796
0.160000, 115.569011, 115.569011, 116.882225, 115.569011
0.161000, 115.569011, 116.882225, 115.569011, 116.882225
0.162000, 115.569011, 118.195439, 119.508653, 116.882225
0.163000, 116.882225, 115.569011, 119.508653, 116.882225
0.164000, 118.195439, 120.821867, 118.195439, 115.569011
0.165000, 118.195439, 115.569011, 118.195439, 116.882225
0.166000, 116.882225, 115.569011, 119.508653, 118.195439
0.167000, 115.569011, 116.882225, 116.882225, 118.195439
0.168000, 115.569011, 114.255796, 119.508653, 116.882225
0.169000, 112.942582, 112.942582, 114.255796, 115.569011
0.170000, 115.569011, 114.255796, 116.882225, 116.882225
0.171000, 119.508653, 116.882225, 116.882225, 115.569011
0.172000, 116.882225, 116.882225, 116.882225, 114.255796
0.173000, 118.195439, 116.882225, 116.882225, 114.255796
0.174000, 116.882225, 114.255796, 118.195439, 115.569011
0.175000, 115.569011, 116.882225, 116.882225, 116.882225
0.176000, 116.882225, 118.195439, 115.569011, 116.882225
0.177000, 118.195439, 116.882225, 116.882225, 116.882225
0.178000, 116.882225, 116.882225, 116.882225, 118.195439
0.179000, 116.882225, 115.569011, 114.255796, 115.569011
0.180000, 118.195439, 115.569011, 116.882225, 118.195439
0.181000, 116.882225, 115.569011, 118.195439, 116.882225
0.182000, 118.195439, 118.195439, 115.569011, 116.882225
0.183000, 118.195439, 118.195439, 118.195439, 116.882225
0.184000, 114.255796, 114.255796, 115.569011, 115.569011
0.185000, 114.255796, 115.569011, 115.569011, 116.882225
0.186000, 118.195439, 116.882225, 115.569011, 116.882225
0.187000, 116.882225, 116.882225, 115.569011, 116.882225
0.188000, 116.882225, 116.882225, 118.195439, 115.569011
0.189000, 114.255796, 115.569011, 116.882225, 114.255796
0.190000, 116.882225, 116.882225, 112.942582, 115.569011
0.191000, 115.569011, 115.569011, 116.882225, 118.195439
0.192000, 115.569011, 114.255796, 116.882225, 116.882225
0.193000, 118.195439, 115.569011, 115.569011, 116.882225
0.194000, 112.942582, 115.569011, 115.569011, 118.195439
0.195000, 114.255796, 116.882225, 116.882225, 115.569011
0.196000, 116.882225, 115.569011, 115.569011, 115.569011
0.197000, 118.195439, 115.569011, 116.882225, 118.195439
0.198000, 116.882225, 115.569011, 118.195439, 118.195439
0.199000, 116.882225, 115.569011, 115.569011, 114.255796
0.200000, 115.569011, 116.882225, 119.508653, 119.508653
0.201000, 116.882225, 118.195439, 115.569011, 118.195439
0.202000, 116.882225, 119.508653, 118.195439, 116.882225
0.203000, 114.255796, 115.569011, 114.255796, 112.942582
