---> createTask() Called With Changes
DAQ_TASK_NAME = SOMETHING_NEW
taskHandle = 0
&taskHandle = 6299816
createTaskStatus = 0
After createTask() ---> taskHandle = 470143456
startTask() ---> taskHandle = 470143456


Sum = 1783293664
time, line0, line1, line2, line3
0.000000, 116.401330, 117.714553, 117.714553, 117.714553
0.001000, 119.027776, 119.027776, 117.714553, 117.714553
0.002000, 116.401330, 116.401330, 116.401330, 117.714553
0.003000, 117.714553, 117.714553, 117.714553, 115.088107
0.004000, 116.401330, 116.401330, 116.401330, 116.401330
0.005000, 115.088107, 119.027776, 117.714553, 117.714553
0.006000, 117.714553, 117.714553, 116.401330, 115.088107
0.007000, 115.088107, 117.714553, 116.401330, 115.088107
0.008000, 115.088107, 119.027776, 116.401330, 115.088107
0.009000, 116.401330, 116.401330, 117.714553, 117.714553
0.010000, 113.774884, 117.714553, 117.714553, 117.714553
0.011000, 117.714553, 115.088107, 116.401330, 115.088107
0.012000, 116.401330, 117.714553, 117.714553, 119.027776
0.013000, 116.401330, 113.774884, 115.088107, 117.714553
0.014000, 117.714553, 119.027776, 116.401330, 113.774884
0.015000, 117.714553, 116.401330, 117.714553, 117.714553
0.016000, 117.714553, 115.088107, 116.401330, 116.401330
0.017000, 116.401330, 119.027776, 117.714553, 116.401330
0.018000, 115.088107, 119.027776, 120.340999, 117.714553
0.019000, 115.088107, 117.714553, 117.714553, 115.088107
0.020000, 115.088107, 116.401330, 117.714553, 117.714553
0.021000, 115.088107, 116.401330, 117.714553, 119.027776
0.022000, 116.401330, 116.401330, 116.401330, 116.401330
0.023000, 117.714553, 116.401330, 117.714553, 119.027776
0.024000, 116.401330, 115.088107, 119.027776, 117.714553
0.025000, 117.714553, 116.401330, 116.401330, 113.774884
0.026000, 116.401330, 120.340999, 117.714553, 116.401330
0.027000, 117.714553, 117.714553, 119.027776, 117.714553
0.028000, 117.714553, 116.401330, 116.401330, 117.714553
0.029000, 116.401330, 119.027776, 112.461662, 119.027776
0.030000, 116.401330, 117.714553, 116.401330, 117.714553
0.031000, 116.401330, 115.088107, 116.401330, 117.714553
0.032000, 116.401330, 116.401330, 117.714553, 119.027776
0.033000, 116.401330, 115.088107, 117.714553, 116.401330
0.034000, 116.401330, 119.027776, 117.714553, 117.714553
0.035000, 116.401330, 116.401330, 119.027776, 116.401330
0.036000, 115.088107, 116.401330, 119.027776, 119.027776
0.037000, 113.774884, 115.088107, 117.714553, 115.088107
0.038000, 113.774884, 116.401330, 115.088107, 113.774884
0.039000, 117.714553, 115.088107, 115.088107, 115.088107
0.040000, 112.461662, 115.088107, 113.774884, 116.401330
0.041000, 115.088107, 113.774884, 116.401330, 116.401330
0.042000, 116.401330, 116.401330, 116.401330, 116.401330
0.043000, 116.401330, 115.088107, 116.401330, 115.088107
0.044000, 115.088107, 116.401330, 117.714553, 117.714553
0.045000, 116.401330, 115.088107, 115.088107, 115.088107
0.046000, 116.401330, 117.714553, 115.088107, 117.714553
0.047000, 117.714553, 117.714553, 116.401330, 115.088107
0.048000, 115.088107, 116.401330, 115.088107, 116.401330
0.049000, 115.088107, 117.714553, 115.088107, 117.714553
0.050000, 116.401330, 116.401330, 115.088107, 117.714553
0.051000, 117.714553, 116.401330, 117.714553, 117.714553
0.052000, 116.401330, 117.714553, 116.401330, 116.401330
0.053000, 115.088107, 116.401330, 115.088107, 116.401330
0.054000, 117.714553, 116.401330, 115.088107, 117.714553
0.055000, 113.774884, 112.461662, 113.774884, 113.774884
0.056000, 115.088107, 115.088107, 115.088107, 116.401330
0.057000, 113.774884, 115.088107, 117.714553, 117.714553
0.058000, 115.088107, 115.088107, 115.088107, 117.714553
0.059000, 115.088107, 116.401330, 115.088107, 117.714553
0.060000, 115.088107, 115.088107, 115.088107, 116.401330
0.061000, 116.401330, 115.088107, 115.088107, 116.401330
0.062000, 117.714553, 117.714553, 115.088107, 115.088107
0.063000, 115.088107, 115.088107, 116.401330, 113.774884
0.064000, 115.088107, 117.714553, 116.401330, 116.401330
0.065000, 116.401330, 116.401330, 113.774884, 116.401330
0.066000, 117.714553, 117.714553, 116.401330, 120.340999
0.067000, 115.088107, 115.088107, 116.401330, 116.401330
0.068000, 113.774884, 116.401330, 115.088107, 116.401330
0.069000, 113.774884, 115.088107, 115.088107, 115.088107
0.070000, 116.401330, 116.401330, 120.340999, 117.714553
0.071000, 115.088107, 116.401330, 115.088107, 116.401330
0.072000, 115.088107, 117.714553, 115.088107, 117.714553
0.073000, 115.088107, 116.401330, 115.088107, 116.401330
0.074000, 115.088107, 116.401330, 115.088107, 113.774884
0.075000, 116.401330, 117.714553, 115.088107, 113.774884
0.076000, 116.401330, 116.401330, 115.088107, 116.401330
0.077000, 117.714553, 115.088107, 116.401330, 113.774884
0.078000, 117.714553, 115.088107, 119.027776, 116.401330
0.079000, 117.714553, 116.401330, 116.401330, 116.401330
0.080000, 116.401330, 116.401330, 115.088107, 116.401330
