Hello from process: 7
Hello from process: 3
Hello from process: 4
Hello from process: 5
Hello from process: 6
Hello from process: 1
Hello from process: 2
Hello from process: 0
---> createTask() Called With Changes
DAQ_TASK_NAME = SOMETHING_NEW
taskHandle = 0
&taskHandle = 6299848
createTaskStatus = 0
After createTask() ---> taskHandle = -1390050848
startTask() ---> taskHandle = -1390050848


Sum = 1783293664
time, line0, line1, line2, line3
0.000000, 117.714553, 115.088107, 115.088107, 119.027776
0.001000, 115.088107, 116.401330, 117.714553, 119.027776
0.002000, 117.714553, 117.714553, 116.401330, 117.714553
0.003000, 113.774884, 116.401330, 117.714553, 116.401330
0.004000, 113.774884, 116.401330, 115.088107, 115.088107
0.005000, 115.088107, 115.088107, 113.774884, 112.461662
0.006000, 116.401330, 115.088107, 115.088107, 113.774884
0.007000, 116.401330, 115.088107, 116.401330, 116.401330
0.008000, 115.088107, 112.461662, 115.088107, 115.088107
0.009000, 115.088107, 115.088107, 113.774884, 115.088107
0.010000, 113.774884, 115.088107, 115.088107, 117.714553
0.011000, 115.088107, 117.714553, 113.774884, 116.401330
0.012000, 116.401330, 116.401330, 112.461662, 119.027776
0.013000, 112.461662, 113.774884, 113.774884, 115.088107
0.014000, 116.401330, 115.088107, 116.401330, 117.714553
0.015000, 113.774884, 116.401330, 116.401330, 119.027776
0.016000, 115.088107, 113.774884, 116.401330, 115.088107
0.017000, 115.088107, 115.088107, 116.401330, 116.401330
0.018000, 116.401330, 116.401330, 115.088107, 116.401330
0.019000, 113.774884, 115.088107, 116.401330, 116.401330
0.020000, 115.088107, 116.401330, 119.027776, 115.088107
0.021000, 116.401330, 115.088107, 116.401330, 115.088107
0.022000, 113.774884, 115.088107, 113.774884, 115.088107
0.023000, 115.088107, 116.401330, 115.088107, 117.714553
0.024000, 113.774884, 115.088107, 115.088107, 112.461662
0.025000, 115.088107, 116.401330, 113.774884, 113.774884
0.026000, 116.401330, 115.088107, 117.714553, 115.088107
0.027000, 117.714553, 115.088107, 116.401330, 112.461662
0.028000, 116.401330, 115.088107, 115.088107, 116.401330
0.029000, 115.088107, 115.088107, 115.088107, 113.774884
0.030000, 113.774884, 115.088107, 112.461662, 116.401330
0.031000, 117.714553, 117.714553, 116.401330, 117.714553
0.032000, 115.088107, 113.774884, 115.088107, 115.088107
0.033000, 116.401330, 115.088107, 116.401330, 116.401330
0.034000, 115.088107, 113.774884, 113.774884, 111.148439
0.035000, 116.401330, 115.088107, 113.774884, 116.401330
0.036000, 116.401330, 115.088107, 115.088107, 113.774884
0.037000, 116.401330, 119.027776, 115.088107, 115.088107
0.038000, 112.461662, 112.461662, 113.774884, 113.774884
0.039000, 116.401330, 116.401330, 113.774884, 113.774884
0.040000, 115.088107, 113.774884, 116.401330, 113.774884
0.041000, 115.088107, 116.401330, 116.401330, 115.088107
0.042000, 116.401330, 116.401330, 115.088107, 113.774884
0.043000, 117.714553, 115.088107, 113.774884, 113.774884
0.044000, 115.088107, 116.401330, 115.088107, 113.774884
0.045000, 117.714553, 113.774884, 113.774884, 115.088107
0.046000, 112.461662, 115.088107, 116.401330, 116.401330
0.047000, 115.088107, 113.774884, 115.088107, 116.401330
0.048000, 113.774884, 116.401330, 116.401330, 116.401330
0.049000, 115.088107, 115.088107, 115.088107, 115.088107
0.050000, 113.774884, 115.088107, 115.088107, 115.088107
0.051000, 113.774884, 116.401330, 119.027776, 117.714553
0.052000, 112.461662, 113.774884, 116.401330, 116.401330
0.053000, 115.088107, 117.714553, 115.088107, 113.774884
0.054000, 113.774884, 111.148439, 113.774884, 113.774884
0.055000, 113.774884, 112.461662, 115.088107, 113.774884
0.056000, 113.774884, 115.088107, 113.774884, 115.088107
0.057000, 115.088107, 115.088107, 116.401330, 116.401330
0.058000, 115.088107, 115.088107, 115.088107, 115.088107
0.059000, 115.088107, 116.401330, 116.401330, 115.088107
0.060000, 113.774884, 115.088107, 113.774884, 115.088107
0.061000, 116.401330, 116.401330, 115.088107, 116.401330
0.062000, 116.401330, 113.774884, 113.774884, 116.401330
0.063000, 113.774884, 115.088107, 117.714553, 115.088107
0.064000, 116.401330, 113.774884, 115.088107, 115.088107
