time, line0, line1, line2, line3
0.000000, 120.548608, 117.922163, 120.548608, 119.235385
0.010000, 120.548608, 119.235385, 120.548608, 120.548608
0.020000, 117.922163, 120.548608, 117.922163, 120.548608
0.030000, 117.922163, 121.861830, 119.235385, 121.861830
0.040000, 119.235385, 120.548608, 117.922163, 120.548608
0.050000, 117.922163, 119.235385, 117.922163, 120.548608
0.060000, 120.548608, 119.235385, 117.922163, 123.175053
0.070000, 117.922163, 120.548608, 120.548608, 120.548608
0.080000, 117.922163, 120.548608, 115.295718, 117.922163
0.090000, 117.922163, 120.548608, 117.922163, 120.548608
0.100000, 116.608941, 120.548608, 121.861830, 120.548608
0.110000, 117.922163, 121.861830, 119.235385, 119.235385
0.120000, 120.548608, 120.548608, 120.548608, 119.235385
0.130000, 117.922163, 117.922163, 117.922163, 116.608941
0.140000, 119.235385, 119.235385, 120.548608, 119.235385
0.150000, 117.922163, 117.922163, 120.548608, 119.235385
0.160000, 115.295718, 120.548608, 119.235385, 120.548608
0.170000, 120.548608, 116.608941, 120.548608, 120.548608
0.180000, 117.922163, 120.548608, 119.235385, 119.235385
0.190000, 119.235385, 116.608941, 117.922163, 120.548608
0.200000, 119.235385, 117.922163, 116.608941, 120.548608
0.210000, 120.548608, 119.235385, 121.861830, 119.235385
0.220000, 120.548608, 117.922163, 120.548608, 119.235385
0.230000, 116.608941, 119.235385, 116.608941, 119.235385
0.240000, 120.548608, 119.235385, 120.548608, 119.235385
0.250000, 117.922163, 120.548608, 117.922163, 119.235385
0.260000, 120.548608, 117.922163, 117.922163, 117.922163
0.270000, 120.548608, 119.235385, 120.548608, 120.548608
0.280000, 117.922163, 121.861830, 119.235385, 119.235385
0.290000, 117.922163, 117.922163, 119.235385, 119.235385
0.300000, 117.922163, 120.548608, 117.922163, 117.922163
0.310000, 119.235385, 120.548608, 120.548608, 120.548608
0.320000, 119.235385, 120.548608, 119.235385, 119.235385
0.330000, 117.922163, 119.235385, 121.861830, 119.235385
0.340000, 117.922163, 116.608941, 116.608941, 119.235385
0.350000, 117.922163, 116.608941, 119.235385, 120.548608
0.360000, 120.548608, 121.861830, 120.548608, 121.861830
0.370000, 121.861830, 119.235385, 120.548608, 119.235385
0.380000, 119.235385, 120.548608, 121.861830, 117.922163
0.390000, 116.608941, 119.235385, 115.295718, 120.548608
0.400000, 120.548608, 119.235385, 116.608941, 119.235385
0.410000, 120.548608, 117.922163, 115.295718, 119.235385
0.420000, 119.235385, 120.548608, 117.922163, 119.235385
0.430000, 120.548608, 117.922163, 119.235385, 121.861830
0.440000, 117.922163, 119.235385, 117.922163, 121.861830
0.450000, 120.548608, 119.235385, 119.235385, 119.235385
0.460000, 119.235385, 120.548608, 121.861830, 119.235385
0.470000, 120.548608, 119.235385, 117.922163, 120.548608
0.480000, 117.922163, 119.235385, 117.922163, 116.608941
0.490000, 117.922163, 119.235385, 119.235385, 119.235385
0.500000, 123.175053, 123.175053, 124.488275, 123.175053
0.510000, 117.922163, 120.548608, 116.608941, 121.861830
0.520000, 119.235385, 119.235385, 117.922163, 117.922163
0.530000, 119.235385, 119.235385, 120.548608, 119.235385
0.540000, 119.235385, 117.922163, 120.548608, 117.922163
0.550000, 117.922163, 117.922163, 119.235385, 117.922163
0.560000, 117.922163, 120.548608, 117.922163, 119.235385
0.570000, 119.235385, 117.922163, 120.548608, 117.922163
0.580000, 120.548608, 119.235385, 117.922163, 117.922163
0.590000, 119.235385, 119.235385, 119.235385, 119.235385
0.600000, 120.548608, 117.922163, 121.861830, 119.235385
0.610000, 119.235385, 120.548608, 117.922163, 120.548608
0.620000, 119.235385, 120.548608, 119.235385, 119.235385
0.630000, 116.608941, 120.548608, 119.235385, 120.548608
0.640000, 119.235385, 119.235385, 117.922163, 119.235385
0.650000, 120.548608, 120.548608, 120.548608, 120.548608
0.660000, 119.235385, 119.235385, 119.235385, 117.922163
0.670000, 119.235385, 119.235385, 119.235385, 119.235385
0.680000, 116.608941, 120.548608, 117.922163, 119.235385
0.690000, 119.235385, 117.922163, 117.922163, 120.548608
0.700000, 120.548608, 120.548608, 120.548608, 120.548608
0.710000, 119.235385, 119.235385, 119.235385, 121.861830
0.720000, 119.235385, 119.235385, 119.235385, 117.922163
0.730000, 120.548608, 117.922163, 117.922163, 119.235385
0.740000, 116.608941, 119.235385, 120.548608, 120.548608
0.750000, 119.235385, 119.235385, 119.235385, 119.235385
0.760000, 119.235385, 119.235385, 120.548608, 117.922163
0.770000, 119.235385, 119.235385, 116.608941, 117.922163
0.780000, 120.548608, 119.235385, 117.922163, 119.235385
0.790000, 117.922163, 117.922163, 119.235385, 117.922163
0.800000, 120.548608, 117.922163, 117.922163, 119.235385
0.810000, 119.235385, 119.235385, 115.295718, 119.235385
0.820000, 117.922163, 119.235385, 119.235385, 123.175053
0.830000, 120.548608, 117.922163, 119.235385, 120.548608
0.840000, 119.235385, 121.861830, 120.548608, 120.548608
0.850000, 117.922163, 120.548608, 120.548608, 120.548608
0.860000, 117.922163, 120.548608, 117.922163, 119.235385
0.870000, 121.861830, 123.175053, 121.861830, 120.548608
