time, line0, line1, line2, line3
0.000000, 121.861830, 119.235385, 120.548608, 120.548608
0.001000, 120.548608, 121.861830, 121.861830, 121.861830
0.002000, 121.861830, 120.548608, 121.861830, 119.235385
0.003000, 119.235385, 120.548608, 119.235385, 121.861830
0.004000, 120.548608, 117.922163, 120.548608, 120.548608
0.005000, 120.548608, 120.548608, 119.235385, 119.235385
0.006000, 120.548608, 121.861830, 120.548608, 115.295718
0.007000, 119.235385, 117.922163, 119.235385, 123.175053
0.008000, 119.235385, 117.922163, 119.235385, 117.922163
0.009000, 119.235385, 120.548608, 117.922163, 119.235385
0.010000, 120.548608, 119.235385, 120.548608, 117.922163
0.011000, 119.235385, 119.235385, 119.235385, 119.235385
0.012000, 121.861830, 120.548608, 120.548608, 117.922163
0.013000, 120.548608, 120.548608, 121.861830, 120.548608
0.014000, 120.548608, 121.861830, 120.548608, 120.548608
0.015000, 120.548608, 121.861830, 121.861830, 119.235385
0.016000, 117.922163, 117.922163, 120.548608, 117.922163
0.017000, 117.922163, 117.922163, 120.548608, 119.235385
0.018000, 120.548608, 121.861830, 121.861830, 119.235385
0.019000, 120.548608, 117.922163, 120.548608, 120.548608
0.020000, 119.235385, 119.235385, 117.922163, 117.922163
0.021000, 119.235385, 120.548608, 119.235385, 120.548608
0.022000, 116.608941, 117.922163, 119.235385, 120.548608
0.023000, 119.235385, 116.608941, 117.922163, 119.235385
0.024000, 119.235385, 119.235385, 116.608941, 120.548608
0.025000, 120.548608, 117.922163, 121.861830, 117.922163
0.026000, 120.548608, 120.548608, 119.235385, 121.861830
0.027000, 117.922163, 120.548608, 117.922163, 117.922163
0.028000, 119.235385, 120.548608, 119.235385, 120.548608
0.029000, 119.235385, 116.608941, 120.548608, 119.235385
0.030000, 120.548608, 121.861830, 120.548608, 117.922163
0.031000, 117.922163, 120.548608, 121.861830, 120.548608
0.032000, 120.548608, 120.548608, 120.548608, 119.235385
0.033000, 121.861830, 119.235385, 119.235385, 117.922163
0.034000, 119.235385, 117.922163, 117.922163, 119.235385
0.035000, 119.235385, 120.548608, 120.548608, 117.922163
0.036000, 119.235385, 120.548608, 117.922163, 117.922163
0.037000, 117.922163, 117.922163, 119.235385, 121.861830
0.038000, 121.861830, 117.922163, 120.548608, 119.235385
0.039000, 119.235385, 120.548608, 119.235385, 117.922163
0.040000, 119.235385, 120.548608, 120.548608, 120.548608
0.041000, 119.235385, 117.922163, 120.548608, 120.548608
0.042000, 120.548608, 119.235385, 119.235385, 121.861830
0.043000, 119.235385, 120.548608, 120.548608, 120.548608
0.044000, 121.861830, 120.548608, 119.235385, 123.175053
0.045000, 120.548608, 119.235385, 121.861830, 119.235385
0.046000, 117.922163, 119.235385, 120.548608, 119.235385
0.047000, 121.861830, 117.922163, 120.548608, 117.922163
0.048000, 119.235385, 119.235385, 121.861830, 117.922163
0.049000, 119.235385, 117.922163, 120.548608, 119.235385
0.050000, 120.548608, 119.235385, 117.922163, 119.235385
0.051000, 120.548608, 120.548608, 119.235385, 120.548608
0.052000, 119.235385, 119.235385, 120.548608, 119.235385
0.053000, 119.235385, 119.235385, 120.548608, 119.235385
0.054000, 121.861830, 117.922163, 120.548608, 120.548608
0.055000, 119.235385, 119.235385, 120.548608, 119.235385
0.056000, 119.235385, 119.235385, 120.548608, 120.548608
0.057000, 117.922163, 119.235385, 117.922163, 119.235385
0.058000, 119.235385, 116.608941, 120.548608, 120.548608
0.059000, 120.548608, 120.548608, 117.922163, 117.922163
0.060000, 119.235385, 120.548608, 120.548608, 119.235385
0.061000, 116.608941, 117.922163, 119.235385, 120.548608
0.062000, 119.235385, 117.922163, 115.295718, 119.235385
0.063000, 117.922163, 120.548608, 121.861830, 119.235385
0.064000, 121.861830, 117.922163, 120.548608, 117.922163
0.065000, 120.548608, 117.922163, 117.922163, 123.175053
0.066000, 120.548608, 117.922163, 117.922163, 119.235385
0.067000, 119.235385, 121.861830, 120.548608, 120.548608
0.068000, 117.922163, 120.548608, 120.548608, 119.235385
0.069000, 119.235385, 120.548608, 120.548608, 121.861830
0.070000, 120.548608, 117.922163, 117.922163, 120.548608
0.071000, 119.235385, 117.922163, 117.922163, 119.235385
0.072000, 119.235385, 119.235385, 120.548608, 117.922163
0.073000, 117.922163, 119.235385, 120.548608, 121.861830
0.074000, 116.608941, 116.608941, 120.548608, 120.548608
0.075000, 116.608941, 119.235385, 119.235385, 123.175053
0.076000, 119.235385, 120.548608, 120.548608, 117.922163
0.077000, 120.548608, 119.235385, 117.922163, 117.922163
0.078000, 116.608941, 117.922163, 120.548608, 120.548608
0.079000, 120.548608, 117.922163, 117.922163, 119.235385
0.080000, 119.235385, 116.608941, 119.235385, 120.548608
0.081000, 115.295718, 117.922163, 113.982496, 117.922163
0.082000, 119.235385, 119.235385, 117.922163, 116.608941
0.083000, 120.548608, 116.608941, 121.861830, 120.548608
0.084000, 119.235385, 117.922163, 119.235385, 120.548608
0.085000, 120.548608, 117.922163, 117.922163, 119.235385
0.086000, 119.235385, 120.548608, 119.235385, 120.548608
0.087000, 120.548608, 116.608941, 117.922163, 119.235385
0.088000, 120.548608, 120.548608, 119.235385, 117.922163
0.089000, 117.922163, 120.548608, 119.235385, 117.922163
0.090000, 117.922163, 119.235385, 117.922163, 120.548608
0.091000, 119.235385, 117.922163, 117.922163, 117.922163
0.092000, 117.922163, 120.548608, 119.235385, 120.548608
0.093000, 116.608941, 120.548608, 119.235385, 119.235385
0.094000, 119.235385, 117.922163, 117.922163, 120.548608
0.095000, 117.922163, 120.548608, 119.235385, 119.235385
0.096000, 117.922163, 119.235385, 116.608941, 119.235385
0.097000, 116.608941, 119.235385, 119.235385, 117.922163
0.098000, 116.608941, 116.608941, 120.548608, 119.235385
0.099000, 119.235385, 119.235385, 120.548608, 119.235385
0.100000, 119.235385, 117.922163, 121.861830, 120.548608
0.101000, 119.235385, 119.235385, 120.548608, 120.548608
0.102000, 117.922163, 121.861830, 116.608941, 116.608941
0.103000, 119.235385, 119.235385, 119.235385, 120.548608
0.104000, 119.235385, 117.922163, 119.235385, 119.235385
0.105000, 117.922163, 116.608941, 120.548608, 119.235385
0.106000, 119.235385, 120.548608, 117.922163, 119.235385
0.107000, 120.548608, 119.235385, 117.922163, 119.235385
0.108000, 117.922163, 117.922163, 120.548608, 117.922163
0.109000, 117.922163, 117.922163, 120.548608, 121.861830
0.110000, 116.608941, 120.548608, 119.235385, 116.608941
0.111000, 117.922163, 117.922163, 119.235385, 121.861830
0.112000, 120.548608, 119.235385, 120.548608, 123.175053
0.113000, 120.548608, 121.861830, 120.548608, 119.235385
0.114000, 119.235385, 121.861830, 120.548608, 120.548608
0.115000, 120.548608, 119.235385, 117.922163, 119.235385
0.116000, 119.235385, 119.235385, 121.861830, 119.235385
0.117000, 120.548608, 117.922163, 116.608941, 120.548608
0.118000, 120.548608, 120.548608, 120.548608, 120.548608
0.119000, 119.235385, 120.548608, 119.235385, 120.548608
0.120000, 117.922163, 120.548608, 117.922163, 120.548608
0.121000, 120.548608, 117.922163, 117.922163, 119.235385
0.122000, 117.922163, 119.235385, 119.235385, 119.235385
0.123000, 116.608941, 119.235385, 117.922163, 117.922163
0.124000, 121.861830, 119.235385, 120.548608, 119.235385
0.125000, 115.295718, 117.922163, 119.235385, 119.235385
0.126000, 117.922163, 120.548608, 116.608941, 120.548608
0.127000, 117.922163, 117.922163, 119.235385, 120.548608
0.128000, 119.235385, 120.548608, 120.548608, 116.608941
0.129000, 120.548608, 120.548608, 120.548608, 120.548608
0.130000, 117.922163, 119.235385, 120.548608, 120.548608
0.131000, 115.295718, 117.922163, 116.608941, 116.608941
0.132000, 119.235385, 117.922163, 120.548608, 120.548608
0.133000, 120.548608, 117.922163, 119.235385, 117.922163
0.134000, 116.608941, 120.548608, 119.235385, 120.548608
0.135000, 119.235385, 117.922163, 119.235385, 119.235385
0.136000, 116.608941, 119.235385, 116.608941, 119.235385
0.137000, 116.608941, 117.922163, 116.608941, 120.548608
0.138000, 120.548608, 115.295718, 120.548608, 119.235385
0.139000, 117.922163, 117.922163, 119.235385, 121.861830
0.140000, 115.295718, 117.922163, 117.922163, 119.235385
0.141000, 120.548608, 117.922163, 120.548608, 116.608941
0.142000, 117.922163, 120.548608, 120.548608, 120.548608
0.143000, 119.235385, 119.235385, 120.548608, 117.922163
0.144000, 119.235385, 120.548608, 117.922163, 117.922163
0.145000, 120.548608, 120.548608, 123.175053, 123.175053
0.146000, 120.548608, 117.922163, 119.235385, 120.548608
0.147000, 120.548608, 120.548608, 120.548608, 120.548608
0.148000, 120.548608, 120.548608, 120.548608, 121.861830
0.149000, 121.861830, 120.548608, 120.548608, 117.922163
0.150000, 120.548608, 119.235385, 120.548608, 120.548608
0.151000, 123.175053, 125.801498, 121.861830, 125.801498
0.152000, 125.801498, 123.175053, 120.548608, 121.861830
0.153000, 123.175053, 123.175053, 121.861830, 121.861830
0.154000, 123.175053, 120.548608, 121.861830, 119.235385
0.155000, 120.548608, 120.548608, 117.922163, 116.608941
0.156000, 120.548608, 120.548608, 120.548608, 119.235385
0.157000, 120.548608, 119.235385, 116.608941, 120.548608
0.158000, 117.922163, 117.922163, 116.608941, 117.922163
0.159000, 116.608941, 116.608941, 117.922163, 117.922163
0.160000, 115.295718, 119.235385, 117.922163, 116.608941
0.161000, 117.922163, 116.608941, 119.235385, 120.548608
0.162000, 117.922163, 117.922163, 119.235385, 120.548608
0.163000, 116.608941, 116.608941, 117.922163, 115.295718
0.164000, 115.295718, 117.922163, 121.861830, 120.548608
0.165000, 117.922163, 117.922163, 116.608941, 117.922163
0.166000, 117.922163, 117.922163, 119.235385, 116.608941
0.167000, 117.922163, 117.922163, 120.548608, 119.235385
0.168000, 119.235385, 117.922163, 116.608941, 115.295718
0.169000, 117.922163, 120.548608, 117.922163, 119.235385
0.170000, 119.235385, 117.922163, 119.235385, 119.235385
0.171000, 117.922163, 117.922163, 120.548608, 119.235385
0.172000, 119.235385, 117.922163, 116.608941, 117.922163
0.173000, 117.922163, 120.548608, 119.235385, 116.608941
0.174000, 119.235385, 117.922163, 116.608941, 119.235385
0.175000, 119.235385, 119.235385, 119.235385, 120.548608
0.176000, 116.608941, 120.548608, 117.922163, 119.235385
0.177000, 116.608941, 116.608941, 117.922163, 120.548608
0.178000, 119.235385, 117.922163, 117.922163, 117.922163
0.179000, 117.922163, 117.922163, 117.922163, 117.922163
0.180000, 119.235385, 116.608941, 116.608941, 119.235385
0.181000, 115.295718, 117.922163, 117.922163, 117.922163
0.182000, 120.548608, 116.608941, 120.548608, 121.861830
0.183000, 116.608941, 116.608941, 117.922163, 116.608941
0.184000, 120.548608, 116.608941, 121.861830, 119.235385
0.185000, 117.922163, 117.922163, 117.922163, 120.548608
0.186000, 119.235385, 119.235385, 116.608941, 119.235385
0.187000, 117.922163, 116.608941, 119.235385, 116.608941
0.188000, 119.235385, 117.922163, 119.235385, 117.922163
0.189000, 117.922163, 120.548608, 116.608941, 117.922163
0.190000, 119.235385, 120.548608, 116.608941, 119.235385
0.191000, 117.922163, 117.922163, 117.922163, 116.608941
0.192000, 119.235385, 119.235385, 119.235385, 119.235385
0.193000, 117.922163, 117.922163, 119.235385, 119.235385
